#         X[m]          Y[m]          Z[m]      H[m]     PN
  3985553.2566  3060827.9739  3916210.0590  964.7389    P01
  3974124.9077  3075256.8893  3916344.4218  857.9686    P02
  3962005.3322  3090326.8030  3916988.8784 1000.6413    P03
  3949617.3605  3105637.8918  3917236.0113  907.3195    P04
  3939281.1441  3122249.5307  3914823.4346 1134.4105    P05
  3924672.5383  3131800.9928  3921265.4363  795.8333    P06
  3972757.1589  3056602.2470  3932110.5039  804.0124    P07
  3964176.1051  3067734.8572  3932280.7468  915.3711    P08
  3951524.4542  3082203.1759  3933662.5123  898.6000    P09
  3940123.1897  3099293.7534  3932139.7685 1181.8734    P10
  3931990.0162  3115028.8021  3927514.7575  959.3553    P11
  3920557.9939  3124580.5048  3931277.9143  928.6335    P12
  3968228.3784  3045633.1396  3945173.1909  858.1995    P13
  3956654.4326  3058369.1958  3946866.8711  817.5275    P14
  3942418.7834  3073606.0447  3949563.1791 1007.4058    P15
  3928287.6964  3090003.5089  3950901.6593 1046.9898    P16
  3915183.5406  3105586.2489  3951911.9366 1188.0378    P17
  3907579.1614  3125057.6879  3943773.8598  964.3538    P18
  3958774.1043  3034149.0833  3963459.4568  922.6081    P19
  3939913.5697  3048542.6032  3971371.3128 1062.1640    P20
  3924570.6925  3070594.1319  3969553.9500 1043.1624    P21
  3915754.4603  3085498.0939  3966786.3154 1084.3706    P22
  3908762.6704  3100603.1467  3961735.7959  960.9738    P23
  3899609.1867  3111213.9627  3962538.6727 1026.7131    P24
  3947256.4587  3029021.2846  3978626.1551  853.0782    P25
  3933259.8802  3042717.6012  3982032.6009  865.9905    P26
  3921738.9217  3062075.1200  3978693.0932  938.1035    P27
  3909638.0381  3072339.8188  3982587.5214  892.5084    P28
  3896199.2826  3090874.6331  3981636.6383 1027.0837    P29
  3885393.7209  3105151.9674  3981043.9296  998.2088    P30
  3937870.3982  3025327.0456  3990678.1326  877.7652    P31
  3926758.3565  3033033.7581  3995899.9865  978.3993    P32
  3915421.8744  3054720.1594  3990524.9422  971.1454    P33
  3900931.0271  3060530.9259  4000171.0371  960.7671    P34
  3889779.1432  3088149.9098  3989806.1637  927.9414    P35
  3876220.5465  3088239.0750  4003067.4065 1081.7445    P36
