#         X[m]          Y[m]          Z[m]      H[m]     PN
  4186323.6312  2919431.9997  3812431.6660    0.4812    P01
  4175286.0540  2934563.1001  3812914.6220    0.4496    P02
  4166568.9013  2952799.2624  3808398.9448    0.4807    P03
  4154809.9217  2962726.7369  3813661.3200   97.9846    P04
  4141632.4650  2983620.9252  3811557.3786    0.4512    P05
  4129564.9363  2996341.1550  3814690.2065   24.2916    P06
  4173721.3439  2912521.3285  3831535.2383  103.9818    P07
  4165360.8201  2931188.5262  3826367.3120   68.4117    P08
  4153251.5039  2940046.0348  3832678.6754   63.0093    P09
  4140590.1349  2962606.7471  3828989.3328   39.3287    P10
  4127232.4782  2972329.4081  3835760.3165    0.3770    P11
  4120195.2209  2999598.3734  3822409.9588  148.3279    P12
  4170792.5261  2900147.0484  3843840.0452    0.3861    P13
  4154158.3733  2918767.0840  3847847.2442   72.3473    P14
  4141163.8357  2938132.7255  3847185.0397  112.3823    P15
  4132359.1403  2954759.9516  3843767.9673    9.4070    P16
  4121607.7817  2966704.5954  3846188.3481   66.0711    P17
  4110125.8547  2985226.4845  3844048.6886    0.4654    P18
  4156767.3259  2897276.8611  3861045.0701    0.4043    P19
  4146103.5223  2914545.3131  3859522.0865    0.4784    P20
  4130707.3082  2925416.7071  3867790.1792   30.0070    P21
  4118652.3762  2950676.5643  3861444.1052    0.4645    P22
  4112680.2612  2962317.7011  3858911.8667    0.4824    P23
  4104551.0492  2977122.7146  3856380.8565  116.4390    P24
  4148012.9884  2886572.9240  3878475.4435   92.7691    P25
  4134592.4051  2908149.4922  3876818.4668  166.6698    P26
  4125175.1997  2922973.4466  3875655.8575  135.2655    P27
  4112194.5633  2935951.3609  3879482.3922   56.2631    P28
  4099078.9559  2955011.0542  3878802.9128    0.4687    P29
  4089037.5299  2970699.9244  3877587.8597   99.3735    P30
  4131517.8110  2881447.8726  3899651.0465   67.3643    P31
  4119234.4771  2903782.6772  3895992.1693    0.4606    P32
  4111372.9178  2917280.5032  3894547.9223  200.3752    P33
  4097481.7104  2929014.0690  3900011.3066    0.4760    P34
  4089011.7872  2953473.1712  3890551.9815   29.5507    P35
  4081023.2783  2959643.4797  3894266.2420   55.2862    P36
