#         X[m]          Y[m]          Z[m]      H[m]     PN
  4010072.3092  3112424.1666  3849922.6980  679.6677    P01
  3998492.5214  3126248.3616  3850543.1765  548.3427    P02
  3985771.0094  3141726.4030  3851378.8998  699.4639    P03
  3975295.7184  3159041.7715  3848164.3076  761.3671    P04
  3962208.6693  3169150.9000  3853275.7117  739.8180    P05
  3949970.9817  3190715.1707  3847555.7974  424.9563    P06
  4000656.2608  3100663.2509  3868952.5721  629.9499    P07
  3985874.6404  3120255.8217  3868423.9250  608.3552    P08
  3973261.8898  3134199.0117  3870255.8821  694.3219    P09
  3959294.1795  3149995.6501  3871423.3516  504.1218    P10
  3946935.5871  3166433.5993  3870864.6357  642.6144    P11
  3938232.5708  3183344.9771  3866131.2964  790.9987    P12
  3992944.2379  3097635.9495  3879198.0317  590.7793    P13
  3982706.9756  3110496.2243  3879415.4973  582.7253    P14
  3968854.3479  3124366.6036  3882629.7457  696.4653    P15
  3954302.4158  3141403.9947  3883539.1354  584.5731    P16
  3944356.3271  3159335.5445  3879259.8547  661.7494    P17
  3933446.5193  3169677.7372  3882002.7295  735.7151    P18
  3980769.5259  3088092.8139  3899145.9880  596.8429    P19
  3968572.2071  3104543.9115  3898400.3968  523.8492    P20
  3956861.8979  3118848.7441  3899357.2281  816.3792    P21
  3945514.9338  3135334.6921  3897558.4307  764.0656    P22
  3935114.9133  3149319.3747  3896274.3059  439.9257    P23
  3920198.9666  3160548.2741  3902525.7654  656.5111    P24
  3972548.5713  3087589.1568  3908442.3624  954.8405    P25
  3961676.8058  3090454.0279  3916452.1627  526.9849    P26
  3941963.4365  3109847.3838  3921012.1742  559.7946    P27
  3930305.9084  3130831.8852  3916513.9919  850.0370    P28
  3919747.9212  3140871.3340  3919007.3900  831.1960    P29
  3907097.2768  3158474.2878  3917178.4165  631.4824    P30
  3962487.2601  3078211.7201  3925460.4121  684.8167    P31
  3957351.3307  3088741.8359  3922420.8680  704.7966    P32
  3943271.9763  3098092.9410  3929417.4093  855.6898    P33
  3926495.3235  3118002.3198  3930203.0893  695.0392    P34
  3910603.5210  3130875.7724  3935673.1274  634.1761    P35
  3899821.4205  3153799.7574  3928348.8424  781.5874    P36
