#         X[m]          Y[m]          Z[m]      H[m]     PN
  4339263.4482  2517063.5738  3927527.5515 1028.7775    P01
  4328935.7007  2530904.5189  3929951.4200  991.0091    P02
  4318427.4562  2549728.3201  3929714.1793 1217.3956    P03
  4310041.4621  2566519.8961  3927872.5235 1137.9860    P04
  4298745.5041  2579919.3107  3931488.8744 1163.5560    P05
  4285360.8973  2598357.1824  3933690.0900 1007.3684    P06
  4325201.5253  2513821.2419  3944884.7042  982.3473    P07
  4317825.9136  2526214.5126  3945151.7284 1047.6040    P08
  4305976.7359  2541604.8994  3948509.6839 1243.1777    P09
  4297679.8102  2562608.6731  3943737.3688 1079.2996    P10
  4292166.7905  2576050.8385  3940902.6627 1017.8932    P11
  4279548.5523  2587415.0696  3947283.6553 1110.9702    P12
  4319058.5547  2507595.4656  3955531.6717 1006.9163    P13
  4312078.8668  2516850.1139  3957286.3508 1025.2767    P14
  4298866.9663  2533164.2145  3961093.0462  944.1630    P15
  4288629.3373  2553688.6111  3959030.1671  947.5743    P16
  4275719.9978  2565690.2449  3965367.3278 1060.1309    P17
  4263716.2656  2587973.9635  3963838.2286 1070.5631    P18
  4303709.9079  2499605.6815  3976814.6547  819.0274    P19
  4294943.3370  2513397.9418  3977994.9330 1070.6947    P20
  4289018.1192  2533098.8634  3971866.0142 1032.2963    P21
  4274881.9960  2539630.6915  3982733.0740  961.4470    P22
  4263987.0854  2567950.2959  3976362.3255 1006.0618    P23
  4263153.7406  2582090.3655  3967996.0661  912.6993    P24
  4301753.7786  2485162.8824  3988513.9021 1209.4971    P25
  4285891.1071  2503152.5786  3993958.8959  995.9807    P26
  4272459.2722  2523673.0387  3995283.8321  906.2724    P27
  4264798.7334  2542719.5204  3991383.6416  885.7378    P28
  4258008.0123  2556142.1976  3990323.5860 1046.2576    P29
  4246092.8264  2569674.2084  3993969.1013  838.0869    P30
  4284176.2177  2486905.2012  4005736.7639  923.8982    P31
  4276750.2401  2499815.6066  4005908.7700 1095.7821    P32
  4267128.6946  2516115.3280  4005679.7476  916.1729    P33
  4254980.5539  2530702.9066  4009642.6407 1078.3576    P34
  4246402.4203  2552063.1184  4004930.0438  892.2558    P35
  4233952.5472  2561187.1713  4012532.4908 1083.4654    P36
