#         X[m]          Y[m]          Z[m]      H[m]     PN
  3983651.5485  2810406.6384  4099410.4435  407.7670    P01
  3973005.7349  2825163.9250  4099555.2683  381.1954    P02
  3957736.7957  2837259.7991  4105945.9294  396.3671    P03
  3949020.3045  2861750.8847  4097466.7547  445.9473    P04
  3937890.5587  2866044.0877  4104950.8669  337.6768    P05
  3926530.9666  2890122.2247  4099040.1003  372.2051    P06
  3970554.4567  2800292.7023  4118977.5563  484.0116    P07
  3962345.6012  2822673.3950  4111400.6167  323.5082    P08
  3951015.1373  2828114.1828  4118436.6401  275.3415    P09
  3940485.8402  2852086.9244  4112219.8641  397.6470    P10
  3932591.2085  2861429.0632  4113161.0139  320.9054    P11
  3918524.3421  2875312.0165  4117126.2371  482.1070    P12
  3961991.3767  2797470.0691  4129106.2040  513.8596    P13
  3949663.4420  2807197.7120  4134043.8617  362.5350    P14
  3935806.7984  2826185.6872  4134264.4460  326.9174    P15
  3927888.5011  2843534.7188  4130182.9580  494.2900    P16
  3918945.0741  2854658.5488  4130662.8925  275.0450    P17
  3908657.4731  2870785.4959  4129468.1358  421.7620    P18
  3947212.9206  2783409.9734  4152471.6583  471.5034    P19
  3935668.3491  2807207.1187  4147283.5524  369.6071    P20
  3927617.9490  2817758.1508  4147656.7608  304.2725    P21
  3917369.9917  2833578.7079  4146684.0001  373.4809    P22
  3907503.1197  2847904.0115  4146252.7530  419.4790    P23
  3902259.3930  2866323.8990  4138463.7551  368.3491    P24
  3943720.5876  2773264.1644  4162254.5504  311.3837    P25
  3931109.1039  2797338.8192  4158432.8142  529.9649    P26
  3920897.7712  2807727.4490  4160672.0821  280.3569    P27
  3907704.9419  2823826.8168  4162485.5225  482.5646    P28
  3902146.0237  2844581.9551  4153377.5975  324.5175    P29
  3890960.3724  2847971.8239  4161721.2009  479.6961    P30
  3930554.0029  2773670.8058  4174257.0409  258.3343    P31
  3920522.6841  2785885.1931  4175965.4611  534.1017    P32
  3911143.4549  2803582.3271  4172725.0912  395.5755    P33
  3900110.1809  2814318.9517  4176001.0461  526.3680    P34
  3886632.9121  2831120.5158  4176835.7100  286.4223    P35
  3876953.8857  2847967.0130  4174530.6045  376.9340    P36
