#         X[m]          Y[m]          Z[m]      H[m]     PN
  4178598.2859  2616958.0414  4034013.8483  860.0380    P01
  4171012.3834  2637371.4271  4028594.1834  854.4338    P02
  4162915.7558  2648045.1406  4030180.6495  996.0832    P03
  4152631.5946  2665554.2185  4029118.3283  910.0207    P04
  4143771.8073  2680997.4617  4027907.8538  851.1165    P05
  4130909.8787  2693641.2084  4032500.3318  756.7578    P06
  4173850.2911  2615256.9698  4039753.6423  710.9006    P07
  4164302.9452  2621574.6467  4045554.6725  765.3682    P08
  4151079.6327  2642229.2733  4045347.8939  536.8374    P09
  4140694.6994  2657756.2643  4046440.3770  935.0245    P10
  4131865.3298  2675363.4645  4043694.1836  817.2438    P11
  4121200.9404  2687584.5322  4046743.4939 1002.4567    P12
  4155451.2405  2601980.6820  4067256.8268  863.8192    P13
  4148643.7394  2625789.9324  4059113.8716  967.3689    P14
  4137242.2600  2630922.0721  4067140.1477  824.0719    P15
  4126545.0618  2655925.7255  4061855.2294  866.4735    P16
  4117543.0747  2666003.1773  4064387.3497  876.9300    P17
  4106054.3133  2683837.5098  4064664.1293 1127.5013    P18
  4145525.9719  2598494.3030  4079588.1946  912.1914    P19
  4139788.8179  2616406.7459  4073721.6099  733.8776    P20
  4130100.7773  2625499.8693  4077764.5913  790.7069    P21
  4118002.9498  2644657.5492  4077703.0746  843.7737    P22
  4106522.1914  2659311.8713  4079560.9268  730.9529    P23
  4098612.2181  2678713.1074  4074800.5374  698.3466    P24
  4140111.2382  2589103.8566  4090574.1818  660.2959    P25
  4127505.4035  2603542.7986  4094339.7971  800.0158    P26
  4116592.5087  2622998.0703  4093163.6683  958.4570    P27
  4105029.1911  2636137.5428  4096304.6679  953.1459    P28
  4092976.1642  2654224.7391  4096508.1544  840.1370    P29
  4085309.5059  2671738.5546  4092881.3221  893.1818    P30
  4123800.6189  2581852.6165  4111788.8693  886.5036    P31
  4112165.2997  2600574.0779  4111746.4726  952.9939    P32
  4102483.1807  2616272.6062  4111205.0783  787.0932    P33
  4092900.4919  2631621.4752  4110872.2601  729.3701    P34
  4081208.5509  2645770.8825  4113933.8669 1077.9396    P35
  4074059.6659  2666629.3739  4107204.0173  828.5713    P36
