#         X[m]          Y[m]          Z[m]      H[m]     PN
  4424963.6525  2610555.6402  3767012.7678   32.0848    P01
  4414498.2288  2624322.1852  3769667.4819    9.1345    P02
  4405055.7174  2644589.0593  3766587.8701   20.9459    P03
  4391799.6250  2655814.1378  3774079.3982    0.4369    P04
  4382495.4474  2681863.1433  3766810.9631  175.0837    P05
  4373218.5248  2690429.5627  3771158.7527    0.4611    P06
  4412458.2288  2605263.3015  3785162.2574   19.0925    P07
  4403071.5359  2619797.4349  3786022.5930    0.4488    P08
  4390000.6184  2635727.6784  3790115.2575    0.4585    P09
  4378811.8972  2656552.2663  3788529.8030    0.4427    P10
  4369675.3901  2671959.0659  3788375.8548   77.1931    P11
  4361389.6963  2689527.5234  3785465.2374   49.2335    P12
  4404558.8107  2598353.9512  3799006.1895   24.9353    P13
  4396255.1422  2613015.3952  3798578.6201   30.4891    P14
  4383409.7982  2627517.2997  3803798.5541  278.7683    P15
  4370022.4104  2648113.2360  3804717.8240  161.4716    P16
  4359778.6378  2665820.9655  3803841.4998    0.4345    P17
  4350050.0165  2681762.7509  3803776.9460    0.4608    P18
  4391254.6492  2593028.0386  3817868.1876   20.5209    P19
  4380026.2205  2606549.8895  3821630.9437   80.2993    P20
  4373901.6024  2629880.8804  3812811.9091  142.3677    P21
  4366386.2434  2637649.2527  3816131.4872  198.6330    P22
  4353285.3822  2656275.4912  3817900.7145   37.5278    P23
  4340068.6757  2673141.9549  3821265.1753  103.3680    P24
  4376577.7977  2585869.7284  3839561.9416  133.9164    P25
  4369261.8829  2606608.2486  3833874.3853  116.8777    P26
  4361605.1612  2617957.0214  3834806.0707   87.8383    P27
  4349833.1087  2634588.2237  3836631.2337    0.3948    P28
  4339389.7420  2653110.5365  3835848.3190   88.9243    P29
  4334132.7471  2671634.3377  3828828.3253    0.4676    P30
  4372520.1435  2573629.3102  3852305.4314  134.6436    P31
  4361595.4713  2598170.7540  3848106.1231   53.4697    P32
  4354072.8012  2611341.2073  3847626.4303    0.4591    P33
  4347657.8143  2629530.2126  3842652.8673   78.6185    P34
  4337629.4992  2640171.7253  3846592.9448   36.5897    P35
  4322846.8574  2658454.4560  3850555.5915    0.4269    P36
