#         X[m]          Y[m]          Z[m]      H[m]     PN
  3638875.9358  3193724.2605  4138948.8664  520.3554    P01
  3627949.8551  3207879.5174  4137578.7292  505.4685    P02
  3614989.9266  3219203.7012  4140270.4936  611.4479    P03
  3602024.6446  3235873.7655  4138333.4766  446.5136    P04
  3593419.6867  3250476.1395  4134809.7647  717.0434    P05
  3580358.7647  3258514.4012  4139348.1704  437.5774    P06
  3628469.5058  3184406.9026  4155173.4536  553.4062    P07
  3615623.5538  3198211.5519  4155905.3889  646.4772    P08
  3604002.5178  3213380.5725  4154212.1664  583.6693    P09
  3591001.7988  3224189.6623  4156749.0565  369.8282    P10
  3577004.1007  3239931.0224  4156860.1692  553.8054    P11
  3566365.9637  3255090.8628  4153970.2695  420.4119    P12
  3615394.3155  3172067.9846  4175813.5410  552.7164    P13
  3600192.2364  3191799.9804  4174120.4589  680.9419    P14
  3590898.8981  3205670.8459  4171564.0465  715.3022    P15
  3583740.1282  3220400.8332  4166252.8499  614.2363    P16
  3571386.4851  3226866.8139  4171687.4990  529.7332    P17
  3560596.5452  3249291.5854  4163472.3859  477.4334    P18
  3609338.4653  3159072.3973  4190824.0724  587.8291    P19
  3593303.0537  3185431.5340  4184309.8151  335.3876    P20
  3581834.4275  3191162.9384  4190110.1126  583.5890    P21
  3571693.3986  3214221.0631  4180907.1979  394.3354    P22
  3562989.0977  3218724.6005  4184906.4343  437.4853    P23
  3546500.0784  3233825.7445  4187375.6499  517.9960    P24
  3595067.4222  3158090.3257  4203502.0227  442.1348    P25
  3584189.0294  3174174.4258  4200674.0517  426.2858    P26
  3574404.0519  3186083.9033  4200168.1364  536.8543    P27
  3565209.9084  3201552.0633  4196215.0354  515.6143    P28
  3554153.9720  3210822.4558  4198685.4333  641.5000    P29
  3538571.5410  3224539.8058  4201153.8000  534.4473    P30
  3586627.7481  3148832.0651  4217397.1673  349.5441    P31
  3573845.5564  3163473.5221  4217362.0734  394.7048    P32
  3564538.9329  3179437.7174  4213425.6087  503.7720    P33
  3552983.7440  3188096.9234  4216422.8574  372.3900    P34
  3541615.5586  3206500.4473  4212428.5772  616.7694    P35
  3529103.6720  3214065.8267  4217093.4658  592.9929    P36
