#         X[m]          Y[m]          Z[m]      H[m]     PN
  4503672.0726  2346640.2441  3846056.3187   42.6645    P01
  4495447.1206  2362246.9115  3846096.4272   26.3476    P02
  4484192.3258  2378224.7669  3849399.6304   47.4124    P03
  4473120.9869  2397968.6949  3850022.3510   44.5667    P04
  4463127.7353  2415249.4576  3851107.1075  223.2092    P05
  4452504.3632  2432582.9574  3852164.8599   29.5995    P06
  4489899.1797  2344467.9219  3863521.6011  159.2495    P07
  4481537.2445  2356486.7690  3865804.2837  100.1745    P08
  4474928.8808  2377445.3324  3860880.9348  236.6546    P09
  4468057.3556  2389949.5916  3861044.7128  192.5493    P10
  4459419.4755  2407431.6931  3859860.6824    0.4172    P11
  4448595.5295  2422290.7629  3863031.1121    0.4362    P12
  4476393.2882  2331622.7306  3886481.9621    0.4277    P13
  4469850.9282  2358370.5386  3877920.3386    0.4640    P14
  4460374.7202  2365390.9421  3884505.3381    0.4403    P15
  4450027.2243  2389158.5700  3882146.5666  185.3739    P16
  4440468.9876  2403032.0224  3884308.2981   60.8864    P17
  4433961.9291  2423947.6248  3878744.0164   39.6404    P18
  4472468.7902  2329241.4753  3892384.1911    0.4537    P19
  4459514.0199  2341535.1002  3899999.8260  114.0921    P20
  4449250.9620  2366378.5066  3896641.7875   49.8075    P21
  4445302.2361  2382252.9152  3891762.1004  206.9351    P22
  4431604.1789  2391004.7879  3901600.4687    0.4648    P23
  4422932.5939  2419514.6941  3893940.7098   20.4481    P24
  4460219.4380  2322025.6287  3910921.0050  206.5954    P25
  4449930.9651  2339330.7065  3912122.9495   85.9213    P26
  4438717.0276  2356502.8032  3914683.7721  175.2630    P27
  4432117.3953  2377534.0172  3909192.4928    0.4512    P28
  4425811.5651  2389749.1559  3908890.1173    0.4579    P29
  4414812.3693  2405222.4173  3911858.6374   25.9609    P30
  4446757.4454  2317277.3528  3928572.7188    0.4088    P31
  4438573.9755  2335524.6851  3927180.2534   92.8409    P32
  4432453.1231  2352250.3972  3924450.7911  291.7151    P33
  4422674.5987  2365441.3070  3927235.7002  107.6878    P34
  4412681.7790  2385058.2022  3926464.8351   14.1339    P35
  4403369.4864  2400920.9020  3927289.0987   41.3603    P36
