#         X[m]          Y[m]          Z[m]      H[m]     PN
  4388061.5405  2267503.5526  4022094.3683  140.0253    P01
  4379561.3577  2288793.6705  4019213.1074   74.1131    P02
  4371928.8423  2302819.0714  4019608.4653  136.8834    P03
  4364452.1967  2320558.8403  4017722.2144  249.7032    P04
  4357380.6315  2335894.7257  4016310.9857  118.1407    P05
  4348182.2814  2350807.8104  4017578.1086  122.8623    P06
  4378201.6786  2261819.5192  4035987.8267  181.4569    P07
  4372536.6643  2283167.3638  4030229.1088  235.6986    P08
  4364149.0334  2293405.5058  4033325.9608  135.2335    P09
  4354635.2993  2313202.1396  4032321.1011  142.4349    P10
  4351322.4905  2331579.8463  4025406.2352  175.7023    P11
  4338324.9718  2338014.5372  4035469.1750   78.9610    P12
  4365562.9534  2257900.5170  4051879.2240  273.0643    P13
  4360703.3826  2277303.1944  4046344.4647  309.9656    P14
  4351618.6112  2287384.6731  4050099.4394  112.4870    P15
  4341391.4963  2307560.8115  4049607.7354   96.7365    P16
  4330901.8328  2322631.3817  4052159.5085   67.2028    P17
  4322034.6129  2342045.9628  4050431.7248   46.3474    P18
  4353355.0304  2250940.7068  4068694.4472  245.6683    P19
  4345672.9421  2270947.7440  4065638.7465  137.8327    P20
  4338660.5925  2284967.9217  4065060.3772    0.4286    P21
  4329571.1223  2300725.7934  4065938.8087   52.4083    P22
  4319936.3674  2317707.1255  4066509.7743   34.2141    P23
  4313072.4051  2335885.4084  4063638.1193  177.4493    P24
  4347748.4271  2245341.1364  4077738.2145  261.9185    P25
  4340727.1012  2261065.9465  4076355.4713  145.3045    P26
  4330567.6035  2275298.3326  4079208.1550  136.9704    P27
  4321379.8433  2294759.4340  4078044.7422  128.8059    P28
  4310383.2180  2308686.8541  4082233.4151  411.4804    P29
  4297595.6774  2327510.3680  4084368.9404    0.4018    P30
  4332056.5070  2243281.6260  4095154.8887   94.2411    P31
  4326145.6058  2255823.0426  4094607.9657  152.3978    P32
  4318854.0670  2272317.5623  4092971.5596    9.1509    P33
  4311023.6548  2287445.4878  4093148.6996  233.7017    P34
  4300079.7379  2302702.9917  4095949.0023  146.1354    P35
  4293413.3223  2323475.7427  4091014.6986    0.6653    P36
