#         X[m]          Y[m]          Z[m]      H[m]     PN
  4276304.5450  2426566.9586  4049933.7467  499.4350    P01
  4266838.8679  2438129.5957  4052852.5369  435.9885    P02
  4257090.4823  2457539.6017  4051487.2943  498.2041    P03
  4246408.7467  2471348.2592  4054405.3554  580.0366    P04
  4236041.5228  2490293.4577  4053481.0094  463.8774    P05
  4227735.0756  2506129.6358  4052378.5135  450.1478    P06
  4262539.6015  2417036.4623  4070062.1507  565.5389    P07
  4248414.7117  2432874.2072  4075046.5579  367.4627    P08
  4237348.4920  2453936.4879  4073917.8848  348.9467    P09
  4233198.4291  2471807.1915  4067769.2422  542.8914    P10
  4220525.2807  2478704.5725  4076317.2691  315.5887    P11
  4211596.6945  2505228.2029  4069651.6725  491.1299    P12
  4254163.1832  2414283.0067  4080505.0740  648.2888    P13
  4242413.9113  2423567.4504  4087033.2554  551.4653    P14
  4230446.0701  2445777.3258  4086008.1993  419.4151    P15
  4221881.0798  2461230.9506  4085665.1242  467.8090    P16
  4214364.8307  2477963.6529  4083699.9514  708.6081    P17
  4199804.0001  2488500.8852  4092072.3639  608.8358    P18
  4236142.5420  2411977.6893  4100319.9896  575.5081    P19
  4230316.6961  2421766.2866  4100749.4238  695.8230    P20
  4220787.0027  2438105.4547  4100541.5141  473.0663    P21
  4212364.8940  2454606.4557  4099349.2389  462.6897    P22
  4205027.4427  2470447.2299  4097415.5239  485.8847    P23
  4196091.5334  2484465.2233  4098026.5073  441.0382    P24
  4230339.2981  2397896.7427  4114449.8160  575.4712    P25
  4216794.4491  2412571.1772  4119525.6027  438.3056    P26
  4209816.5405  2435894.4756  4113148.8767  550.6120    P27
  4200833.1577  2444600.2450  4117055.9344  496.2669    P28
  4189639.8745  2464078.9127  4116758.4008  435.9235    P29
  4179365.4988  2479202.6688  4118328.4264  576.0434    P30
  4213005.3697  2393616.3176  4134599.3546  612.4743    P31
  4204161.5853  2410865.2263  4133401.8927  492.1487    P32
  4198501.1789  2427612.1932  4129394.3318  502.0525    P33
  4188003.6434  2438205.7889  4133546.6503  349.8945    P34
  4180633.8930  2460231.2069  4128023.7332  371.7496    P35
  4171908.9053  2470069.0385  4131153.3561  501.3779    P36
