#         X[m]          Y[m]          Z[m]      H[m]     PN
  3813461.5206  3225845.1889  3954955.1780 1148.0631    P01
  3802728.1517  3236040.1438  3956941.0612 1144.3001    P02
  3786918.0342  3250158.6921  3960513.0337 1148.4736    P03
  3772861.7634  3267864.5929  3959379.3558 1157.1094    P04
  3764551.8611  3284320.8760  3953839.5072 1240.5452    P05
  3752674.1484  3291736.2517  3958948.0859 1253.3436    P06
  3801193.8897  3215004.3317  3975599.5704 1271.1355    P07
  3787642.7443  3229529.1634  3976359.0883 1024.7806    P08
  3773713.3014  3243760.4956  3978161.7694 1121.8653    P09
  3759066.1020  3258456.2165  3980178.3128 1229.7096    P10
  3749242.5003  3277629.2035  3973490.0989 1073.7286    P11
  3738736.8477  3284829.0460  3977600.7043 1190.3881    P12
  3791865.7821  3210968.6192  3987446.1304 1130.3623    P13
  3781949.7139  3219688.5546  3989757.9779 1094.5133    P14
  3768391.7086  3236065.3141  3989523.4394 1210.4051    P15
  3756324.4626  3250229.0042  3989567.0390 1321.5651    P16
  3743604.1849  3264198.8896  3989997.5043 1248.3198    P17
  3728068.4777  3276362.3235  3994312.3564 1104.4791    P18
  3779139.1008  3201578.6771  4007078.1195 1242.7227    P19
  3767753.4688  3212712.5581  4008685.7807 1122.5226    P20
  3758408.4643  3231773.5997  4002041.8507 1038.7327    P21
  3748609.1716  3239501.5195  4005121.6995 1138.5195    P22
  3733786.9430  3255626.5679  4006017.6655 1221.3015    P23
  3721439.0968  3271016.3650  4004810.6629 1116.5406    P24
  3773303.8307  3189840.8095  4021598.4379 1107.0183    P25
  3756542.5085  3201798.0675  4027888.8348 1200.4862    P26
  3741726.7705  3222096.2120  4025433.4542 1153.1067    P27
  3733656.5040  3236762.0741  4020778.8004  894.3895    P28
  3721476.3867  3245122.5855  4025591.7448 1080.5964    P29
  3706891.7968  3263611.5358  4024200.8401 1137.7682    P30
  3761406.6672  3184684.4859  4036671.5617 1088.6993    P31
  3753617.3030  3198629.3203  4032849.8291 1044.4181    P32
  3740390.8477  3207007.9613  4038717.6816 1219.2356    P33
  3725279.1073  3226382.8900  4037188.3199 1172.0716    P34
  3713114.8147  3238677.5579  4038537.5519 1170.0738    P35
  3701925.1458  3255628.0776  4035208.8829 1174.7093    P36
