#         X[m]          Y[m]          Z[m]      H[m]     PN
  4176471.2840  2523606.6851  4094619.0822  726.4942    P01
  4166950.0467  2538258.0774  4095181.8351  676.8868    P02
  4155313.2046  2553615.6100  4097545.2100  743.3050    P03
  4142014.8471  2569962.5623  4100750.8134  733.0862    P04
  4135653.2865  2591686.2253  4093295.9554  575.0004    P05
  4134747.4229  2604351.5165  4086564.6808  801.0961    P06
  4168825.4839  2508218.4271  4111793.9975  777.9395    P07
  4153115.2978  2531872.8107  4113584.2264 1036.7691    P08
  4145171.1299  2550644.7112  4109485.0705  688.6615    P09
  4135417.0795  2561828.1757  4112121.3404  549.6719    P10
  4125843.0173  2580916.8506  4109943.4584  631.5356    P11
  4118490.4319  2595540.3338  4108378.5574  798.8257    P12
  4154590.5574  2507111.5855  4126526.4409  633.5185    P13
  4144497.2190  2525993.6196  4125202.6730  654.7934    P14
  4132794.1545  2538919.3005  4129323.7460  877.5828    P15
  4123697.7636  2559708.6701  4125192.4255  608.1164    P16
  4114361.0830  2570983.4746  4127898.6570  875.9054    P17
  4103084.6530  2588718.6562  4127712.7420  664.5411    P18
  4140889.0490  2503582.7178  4142213.9899  575.3707    P19
  4128614.9788  2516792.8197  4146916.9498  893.5818    P20
  4117661.3056  2536968.8987  4145276.8450  732.5149    P21
  4104814.0981  2548856.2731  4150581.6002  664.2756    P22
  4102219.0691  2575289.1726  4137004.1504  731.8145    P23
  4100062.6425  2579548.2750  4136360.4011  646.0816    P24
  4135763.1112  2492696.1611  4154090.4496  762.0614    P25
  4119343.8604  2507005.9880  4161805.7876  808.5682    P26
  4107205.7518  2530150.6526  4159722.0506  750.9003    P27
  4098199.7885  2543763.0672  4160259.9745  725.8996    P28
  4087803.5848  2559581.4525  4160641.6294  633.6658    P29
  4077878.0535  2575560.0421  4160316.4271  498.7305    P30
  4115123.2661  2490489.0723  4175694.0596  753.5187    P31
  4107673.6918  2507383.9325  4173075.3042  844.4497    P32
  4098444.0119  2520064.0910  4174542.0098  870.3824    P33
  4088529.2712  2537185.6734  4173635.8901  697.9317    P34
  4080030.4277  2552543.2862  4172621.6044  715.0586    P35
  4072172.4965  2568037.1513  4170843.0096  741.4644    P36
