#         X[m]          Y[m]          Z[m]      H[m]     PN
  4431474.0197  2513670.1424  3825954.5007  943.1730    P01
  4423416.7296  2538165.3566  3819107.0642  919.7892    P02
  4418344.4271  2549733.0954  3817309.0921  934.4696    P03
  4411862.5557  2566336.2517  3813666.8168  913.7674    P04
  4397873.7819  2576441.0756  3822781.8486  819.8865    P05
  4384107.0645  2601544.0618  3822200.4717 1182.2339    P06
  4422768.4060  2510962.2594  3837630.8705  895.1004    P07
  4411431.9600  2526224.2275  3840488.5373  802.1670    P08
  4403760.7524  2547530.0032  3835353.3537  864.7063    P09
  4392628.2801  2557452.5284  3841372.4200  805.5716    P10
  4383107.3275  2581361.6003  3836589.8829  990.1755    P11
  4377775.7409  2595003.7718  3833414.1976  942.9950    P12
  4415345.8057  2501297.6222  3852284.9695  847.2919    P13
  4406748.7366  2521957.2778  3848927.6976  996.7035    P14
  4394481.3430  2533205.0340  3855565.4286 1025.9204    P15
  4382075.9059  2556022.5246  3854515.9127  955.3328    P16
  4375966.3081  2573667.8327  3850037.6749 1134.0732    P17
  4367256.2486  2585622.8405  3851366.3430  807.0944    P18
  4405505.9783  2497993.8652  3865597.2966  855.8746    P19
  4393205.7858  2511073.6082  3871042.7335  832.5720    P20
  4382724.3664  2533601.8414  3868617.5757 1049.7884    P21
  4373844.0658  2547765.8120  3869159.0609  926.5125    P22
  4365589.8451  2565990.4417  3866581.5216 1003.8229    P23
  4352478.5860  2577572.7744  3873501.8990  940.2944    P24
  4388499.9871  2495301.1730  3886779.4724 1037.0608    P25
  4381926.1007  2510510.1679  3884342.8617  991.2911    P26
  4374113.1841  2525411.9143  3883471.7061  977.1436    P27
  4365448.0443  2541620.2476  3882777.5835 1053.6150    P28
  4357146.2751  2558189.6772  3881093.1421  968.8534    P29
  4347626.6858  2573007.4761  3881779.4131  853.6834    P30
  4383085.1368  2483422.0948  3900449.5594 1077.8105    P31
  4372982.1522  2502736.2011  3899105.4352  865.2122    P32
  4363166.8118  2517817.0564  3900696.7955 1058.1442    P33
  4354525.8425  2536695.1442  3898023.6860  987.9258    P34
  4343779.2954  2549576.4313  3901709.4713 1064.7352    P35
  4334127.0179  2570397.9662  3898492.3812  875.2084    P36
