#         X[m]          Y[m]          Z[m]      H[m]     PN
  4319815.6281  2348625.0996  4049133.2457  132.1881    P01
  4310731.1720  2364713.9783  4049329.6555   56.5112    P02
  4303031.1716  2382132.5781  4047439.3394  130.8210    P03
  4296835.1493  2397894.9060  4044825.4571  190.6680    P04
  4288102.9802  2411426.0921  4045927.4203  119.0618    P05
  4275627.0237  2427210.4655  4049750.2152  173.2217    P06
  4309020.0670  2343146.9252  4063696.6563  139.6048    P07
  4295776.5864  2355409.9321  4070897.7666  345.9020    P08
  4288894.8601  2381039.8381  4062989.3880  154.5425    P09
  4281866.1822  2389552.0943  4065326.0710  114.4689    P10
  4268515.1601  2406182.9036  4069714.5713  234.9955    P11
  4259469.1440  2427483.9280  4066355.3350  102.2828    P12
  4295818.2750  2337257.2862  4081130.1370  279.7394    P13
  4288801.6425  2353716.3440  4078837.2429  133.5921    P14
  4280922.4806  2368124.0974  4079018.4742  289.7645    P15
  4271774.4194  2384446.0216  4078888.5536  153.4831    P16
  4261259.6040  2399855.9361  4080904.0549  197.7011    P17
  4251071.5829  2417781.0151  4080706.3202   42.3697    P18
  4285531.5922  2330422.5940  4095598.7041  195.9100    P19
  4279389.8066  2347502.7573  4092000.4796   10.6047    P20
  4269207.9854  2359120.6827  4096275.7951  236.6926    P21
  4258633.1394  2379236.2754  4095407.9924   78.2524    P22
  4248937.5404  2394212.7631  4096733.0697   72.9956    P23
  4234350.7073  2408815.6129  4103342.6065  148.2681    P24
  4271838.9658  2331111.3376  4109412.3511  207.0889    P25
  4268396.7702  2339648.2176  4108390.5468  365.5951    P26
  4261831.3369  2355908.1674  4105514.4855   96.4842    P27
  4250280.0125  2367594.5421  4110851.8398  176.7964    P28
  4239597.1204  2388928.0310  4109566.6541  187.7211    P29
  4228791.9941  2402609.6907  4112468.4858   37.2247    P30
  4261374.0013  2318347.1955  4127061.2408   27.6421    P31
  4248359.3829  2331413.3677  4133427.5449  258.6437    P32
  4241680.9724  2355947.4027  4126232.6281  138.2258    P33
  4237494.9328  2366583.8252  4124342.2154   62.6057    P34
  4228606.9245  2380668.4638  4125438.3888  119.4095    P35
  4219842.8113  2398165.6769  4124361.8583  168.9213    P36
