#         X[m]          Y[m]          Z[m]      H[m]     PN
  4409005.0377  2175712.4896  4049403.6082    6.4670    P01
  4405289.9364  2196559.9342  4042269.2224   28.9593    P02
  4395207.3803  2204439.2184  4048985.0403   79.7131    P03
  4384433.3962  2227489.5686  4047967.2749   23.0140    P04
  4377320.9534  2243780.5543  4046640.0005    0.4521    P05
  4368977.9543  2259069.7035  4047146.2532    0.4869    P06
  4395604.4931  2168355.5587  4067875.9711   85.7506    P07
  4388604.6340  2191497.7030  4062928.8753    0.4863    P08
  4375955.4593  2200544.8353  4071647.8125   21.8753    P09
  4370962.0606  2228738.3209  4061808.7861   71.7900    P10
  4367376.7841  2236749.7730  4061153.3439    0.4451    P11
  4359451.6862  2252997.9130  4060828.4370   89.6218    P12
  4388301.9054  2162631.9073  4078740.8513   99.4690    P13
  4379195.1468  2181617.1536  4078266.8402    0.3677    P14
  4367378.8379  2196067.4437  4083146.3554    0.4820    P15
  4363840.7309  2220647.9737  4073687.1869    0.4756    P16
  4352507.4899  2225120.6277  4083428.6260   86.5383    P17
  4343706.2095  2252470.1262  4077712.1835    5.1043    P18
  4378378.7912  2159358.0745  4090884.4875    0.4941    P19
  4367020.3535  2171925.1740  4096332.0350    0.4470    P20
  4352051.6305  2191302.6841  4101902.2408    1.1208    P21
  4345919.0021  2215276.0096  4095564.0400    0.4259    P22
  4337457.9229  2224657.6383  4099420.0980    0.4937    P23
  4329210.8048  2245650.8523  4096929.2618  143.1219    P24
  4364444.5868  2156599.5970  4107087.5241    0.4190    P25
  4355934.5786  2167299.6664  4110548.2496   54.1040    P26
  4346334.5568  2187058.4803  4110178.8482   10.2284    P27
  4333330.8518  2200850.8776  4116483.9983    0.4890    P28
  4323286.1030  2223617.8619  4114919.8839   64.6537    P29
  4320453.3329  2241187.8863  4108505.3878  132.0067    P30
  4353973.9457  2147166.9936  4123070.3395   43.2766    P31
  4345933.2494  2162982.2420  4123243.7251   15.8796    P32
  4336318.8190  2179053.8498  4125067.1676  129.4876    P33
  4327682.5107  2197364.3894  4124422.8578  126.5040    P34
  4314740.1722  2210775.8167  4130574.3081    0.3494    P35
  4305407.3613  2233778.0608  4128137.4325  120.3325    P36
