#         X[m]          Y[m]          Z[m]      H[m]     PN
  4089873.5909  2647959.9501  4103444.5697  734.8477    P01
  4079231.9407  2665445.6494  4102381.1686  515.2048    P02
  4071972.5637  2681775.6306  4099133.3986  619.8716    P03
  4061336.0295  2693005.8907  4102640.7587  840.6156    P04
  4051252.6875  2712651.1518  4099461.7842  695.5524    P05
  4040893.9227  2724322.5709  4102044.4743  770.9710    P06
  4081647.0760  2643202.0699  4114369.8245  577.1353    P07
  4069223.6610  2653689.0739  4119823.6222  537.9599    P08
  4060481.4867  2676668.3905  4114199.7069  914.4155    P09
  4053117.1409  2686934.6753  4114561.4079  782.5389    P10
  4043614.2843  2703396.7789  4113174.2828  807.1532    P11
  4034723.7394  2718042.7828  4112206.3710  773.6109    P12
  4073351.9149  2631599.3548  4130087.0076  702.5991    P13
  4060308.7586  2648216.7467  4132486.7638  829.1803    P14
  4051946.6508  2667597.3958  4128278.3462  844.2642    P15
  4042128.6266  2678171.1866  4130901.5596  756.3647    P16
  4026165.0807  2692944.5478  4136870.8312  775.3296    P17
  4016893.8460  2716156.7349  4130663.3857  722.9223    P18
  4057915.7926  2625357.6668  4149320.5167  858.8920    P19
  4049121.0291  2645503.5965  4144837.0312  659.2817    P20
  4039277.5216  2655842.5644  4148058.9715  823.3750    P21
  4027168.0333  2673651.4507  4148175.4618  683.0355    P22
  4017042.8896  2689276.1399  4147758.0415  593.9178    P23
  4010468.6939  2706612.7889  4143008.4853  682.7717    P24
  4046486.3197  2614466.2022  4167007.3642  732.9110    P25
  4034860.5959  2639200.9050  4162872.7016  836.5109    P26
  4030016.1215  2652939.7535  4158512.8319  610.3098    P27
  4019272.7862  2662788.0807  4162945.7652  846.1272    P28
  4004027.1815  2679842.3472  4166694.2055  864.0764    P29
  3997866.5988  2702349.5843  4157537.8721  482.0255    P30
  4039648.2757  2609318.3024  4176461.5010  516.1509    P31
  4026972.9755  2627308.4596  4177601.6985  637.5148    P32
  4018945.1669  2645218.5897  4174239.3569  760.1001    P33
  4009426.4325  2656742.3294  4176168.8052  830.6141    P34
  3999901.1690  2674679.6921  4173703.5461  722.1767    P35
  3984115.5007  2683241.4002  4183178.0986  687.6719    P36
