#         X[m]          Y[m]          Z[m]      H[m]     PN
  4035718.4009  2736718.6698  4098968.2001  810.0848    P01
  4026374.6473  2759803.5673  4092625.8920  751.2411    P02
  4018720.2880  2769412.6222  4093764.4705  824.3059    P03
  4014052.3737  2790136.0332  4084331.0155  828.0217    P04
  4002568.3062  2793260.5883  4093351.8577  800.6458    P05
  3990062.4277  2818283.0536  4088533.0486  860.8172    P06
  4032050.7355  2728508.7363  4107806.8687  698.0103    P07
  4020185.8747  2747667.3836  4106850.0665  812.5187    P08
  4008095.1291  2760598.2485  4109849.5222  731.6708    P09
  3999505.8399  2780928.6690  4104821.0319  911.2664    P10
  3988863.1557  2789816.0159  4108875.0722  756.0019    P11
  3976513.5356  2808891.1209  4108155.4623  949.9949    P12
  4019664.6732  2725136.5777  4122348.4308  883.4965    P13
  4006260.6816  2736998.9064  4127441.6700  845.7338    P14
  3999961.6706  2761341.8096  4117176.9519  705.4256    P15
  3993147.7738  2766701.5517  4120375.2439  837.6136    P16
  3975799.5105  2780954.4734  4127549.8742  868.9347    P17
  3961954.7454  2802583.9417  4126245.6458  871.8652    P18
  4007608.1464  2720318.1495  4136912.5157  732.4402    P19
  3996279.0194  2729367.8366  4141825.9048  700.5416    P20
  3985016.1490  2750001.4349  4139237.9112  825.7537    P21
  3975112.8186  2762307.6580  4140678.9086  905.2989    P22
  3962453.5043  2777647.4500  4142366.2642  793.1916    P23
  3953181.9152  2795824.2661  4138908.7534  722.3167    P24
  3995210.5842  2708806.8557  4156422.7206  824.7733    P25
  3986124.3024  2727489.5996  4152959.2774  830.8329    P26
  3975858.2079  2738524.1060  4155412.7677  760.6947    P27
  3963747.6442  2755550.1937  4156051.7676  975.4890    P28
  3951189.1910  2769807.7226  4158219.4394  781.3000    P29
  3938158.9562  2785918.5899  4159756.0099  748.1954    P30
  3980741.0539  2705703.6294  4172095.4195  762.3269    P31
  3975266.2580  2720639.3739  4167432.9344  633.1181    P32
  3967311.8305  2731852.7430  4167826.0760  732.3330    P33
  3951448.7847  2743570.3550  4175336.8026  860.1788    P34
  3939106.4069  2766391.0237  4171878.7616  804.9092    P35
  3931475.8362  2779236.3729  4170379.4409  694.6573    P36
