#         X[m]          Y[m]          Z[m]      H[m]     PN
  4456183.0903  2440388.4484  3843566.3431  358.5044    P01
  4445431.7257  2452032.8745  3848473.7817  300.2154    P02
  4433695.2879  2473304.0382  3848371.1012  281.4259    P03
  4424642.3744  2490287.9549  3847776.0640  242.7312    P04
  4414089.4276  2505869.9673  3849892.8324  319.0782    P05
  4406480.2146  2526183.2733  3845056.5684  134.3059    P06
  4445714.8405  2432011.5361  3860677.3826  256.2467    P07
  4435452.2453  2447832.3799  3862489.2224  267.3630    P08
  4427497.1783  2467558.7315  3859297.4328  396.1923    P09
  4419569.8005  2481476.3808  3859328.9514  317.5086    P10
  4409014.4296  2497771.4738  3860895.2620  326.9805    P11
  4398689.9001  2515901.2052  3861073.8942  432.6917    P12
  4436177.9263  2426571.1846  3875104.9503  350.9308    P13
  4422048.4219  2438574.0455  3883877.5736  488.2131    P14
  4410645.9577  2464218.8734  3880308.2509  263.0342    P15
  4403789.9804  2478482.4331  3879067.6346  292.4562    P16
  4392328.0499  2492650.0706  3883231.3171  460.6121    P17
  4384004.5531  2514746.2271  3878386.1438  439.9760    P18
  4420643.1506  2419573.4277  3896685.1495  142.7023    P19
  4415486.3096  2441552.7280  3889278.0166  395.0234    P20
  4404836.3291  2448921.5918  3896556.8569  329.1208    P21
  4392514.1193  2472438.3460  3895873.5781  482.8969    P22
  4381069.4391  2487114.3723  3899078.7017  288.7646    P23
  4370498.9687  2507013.9750  3898729.3757  612.3756    P24
  4404685.4487  2415728.9301  3917192.0320  290.3284    P25
  4399215.4543  2437734.5736  3909811.4385  329.3629    P26
  4394038.0401  2448258.0062  3909380.0108  524.3094    P27
  4385584.8993  2464843.6798  3908438.3750  513.1140    P28
  4375004.0232  2479787.6408  3910317.0343  198.7607    P29
  4364733.3685  2498371.4707  3910168.2402  322.3078    P30
  4397403.2639  2406841.5514  3930916.2425  405.7550    P31
  4385839.9148  2427792.8994  3930996.5472  433.8177    P32
  4379589.7802  2446239.1211  3926217.0739  223.7451    P33
  4369936.3370  2457368.2995  3930207.6337  354.5044    P34
  4359589.6133  2477961.1415  3928798.0702  366.9805    P35
  4350732.8456  2493254.0873  3929318.3214  601.6639    P36
