#         X[m]          Y[m]          Z[m]      H[m]     PN
  3880920.9481  3238945.1045  3877595.5395  659.4358    P01
  3866668.2934  3254282.8800  3878923.3702  624.1367    P02
  3855963.3420  3272216.9160  3874598.8782  673.3259    P03
  3846931.4573  3284076.4315  3873565.0083  682.9534    P04
  3836720.3697  3299322.0800  3870725.4695  665.4076    P05
  3823234.6257  3309376.5068  3875459.4587  670.9539    P06
  3872864.6987  3231588.8937  3891796.1304  738.5879    P07
  3862493.1610  3248402.0410  3888214.3207  791.6317    P08
  3851321.5423  3259369.0401  3889706.6865  547.9094    P09
  3836766.9162  3274373.7675  3891598.6146  623.7326    P10
  3822034.6274  3289481.2837  3893186.4108  528.3279    P11
  3809587.2606  3306293.3551  3891599.0089  799.4937    P12
  3864872.6147  3225052.7686  3905047.2357  736.5725    P13
  3853577.3473  3237403.7088  3905674.0810  546.2451    P14
  3840759.5111  3252642.6591  3906020.1283  781.6385    P15
  3829634.3879  3268610.5433  3903707.6880  830.3095    P16
  3814925.5813  3278148.6838  3909909.1805  735.2577    P17
  3797560.5062  3296758.4952  3910993.6710  634.3399    P18
  3854470.5668  3221042.0919  3918690.5220  838.9999    P19
  3844578.3567  3226818.8620  3922977.7106  442.1036    P20
  3828739.1143  3244412.8674  3924367.3503  700.7206    P21
  3818183.0123  3262153.9954  3919892.4325  652.2376    P22
  3805915.8030  3270940.1471  3924267.0768  528.5225    P23
  3787246.7261  3285957.5931  3929949.3136  657.0725    P24
  3839022.1520  3212140.0319  3940385.1676  487.5594    P25
  3832477.8917  3224604.6629  3936741.8163  577.0546    P26
  3821433.9407  3235377.1248  3938656.5674  596.2929    P27
  3806328.3867  3250063.2830  3941250.5801  643.7209    P28
  3793655.3767  3267700.5570  3938833.5485  602.5039    P29
  3782350.6186  3279955.6721  3939832.1942  799.9943    P30
  3831568.4596  3198026.6806  3959305.8271  707.9923    P31
  3820175.5797  3218170.7815  3954051.0546  725.0918    P32
  3811903.3257  3229160.0638  3952980.5432  662.6186    P33
  3798404.9919  3241289.1494  3956233.7019  792.5385    P34
  3784044.2153  3258218.3695  3955788.8061  604.7298    P35
  3772288.2241  3272757.5846  3955380.6901  829.9864    P36
