#         X[m]          Y[m]          Z[m]      H[m]     PN
  4336060.0287  2132283.0303  4149401.3383   36.8018    P01
  4325957.1890  2144741.0865  4153440.5485    0.4092    P02
  4318624.8424  2166194.5017  4150151.1545  126.0257    P03
  4308510.9888  2177903.7215  4154533.8095  146.1635    P04
  4303681.3251  2201006.9172  4147374.8264  125.9106    P05
  4297486.3352  2210448.3898  4148647.0985   47.0676    P06
  4323418.9705  2122163.2190  4167645.2063   55.1891    P07
  4308984.0417  2139658.0226  4173607.2939   57.1251    P08
  4303821.2976  2164262.2198  4166204.3363    0.3910    P09
  4297747.6130  2173456.4203  4167677.4076    0.4324    P10
  4286366.1684  2189896.4574  4170827.1753   38.1838    P11
  4279676.5013  2210601.1364  4166741.9053    0.4687    P12
  4312894.8823  2120198.4365  4179425.7368   37.1099    P13
  4299570.4545  2131164.2505  4187872.4204  273.6332    P14
  4294715.3952  2158483.5456  4178497.5178    0.4671    P15
  4283933.2654  2163196.0365  4187061.7628    0.3929    P16
  4275070.8844  2188840.2078  4182818.4114    0.3783    P17
  4269075.9234  2201532.3707  4182444.9633  106.9422    P18
  4301200.1694  2114925.7059  4193969.6764    0.4495    P19
  4293083.9834  2127273.1996  4196202.9030  117.6962    P20
  4283332.9388  2145214.7214  4196850.3766    0.4634    P21
  4274744.7468  2162129.5064  4196936.3829    7.6611    P22
  4265964.9581  2178220.6213  4197642.0082   72.0218    P23
  4257711.4704  2195235.6967  4197227.0416  115.9878    P24
  4283927.0254  2106000.2184  4215951.4074   11.7416    P25
  4278389.6357  2127660.0536  4211045.2359  221.0412    P26
  4273232.7470  2139761.1930  4209823.0753    0.4745    P27
  4263237.1329  2153890.5578  4213027.7440  197.5995    P28
  4253389.6687  2172748.5253  4213041.8407   29.0527    P29
  4244482.4616  2188761.2610  4213892.2344  135.8457    P30
  4272013.8551  2101848.3144  4230157.8048  121.5700    P31
  4262821.6290  2118867.8118  4230969.5394  144.8723    P32
  4254880.1022  2136058.7740  4230106.6782    0.4613    P33
  4248674.9586  2152376.1669  4228221.2170   91.1329    P34
  4241577.3470  2166922.9145  4228041.7706  172.9852    P35
  4229301.1959  2180735.6359  4232941.3640    0.4715    P36
