#         X[m]          Y[m]          Z[m]      H[m]     PN
  3904938.2524  3155256.6605  3922611.1956 1077.2915    P01
  3890753.3591  3169374.2225  3925215.9560 1022.0617    P02
  3880710.9443  3189285.4139  3919112.5460 1051.7067    P03
  3871727.4905  3198698.2849  3920344.4134 1068.3446    P04
  3855476.8985  3211648.3957  3925822.1317 1124.3394    P05
  3841210.0175  3231756.4401  3923236.3281 1072.1151    P06
  3895408.9120  3149378.0406  3936613.1200 1029.2089    P07
  3886255.2127  3163359.2693  3934406.2121  993.5844    P08
  3874795.5978  3175802.1334  3936001.1565 1195.4407    P09
  3862392.3328  3192215.9166  3934470.3871  916.6572    P10
  3849003.7078  3204124.2715  3937966.7429  966.8738    P11
  3836051.5606  3222694.2817  3935812.5066 1181.6550    P12
  3886901.3901  3138202.8945  3953509.1878  851.1457    P13
  3875991.7503  3156553.7555  3949902.3935 1018.2115    P14
  3868559.9771  3170255.3740  3946583.1257 1233.4757    P15
  3854126.5299  3178544.0142  3953765.4915 1099.2048    P16
  3838522.1903  3199795.5099  3951708.4825 1032.5706    P17
  3827327.6311  3212601.8047  3952061.4054  963.4264    P18
  3878772.0484  3132374.2028  3966852.2266 1376.7807    P19
  3865069.3598  3144094.3297  3970282.9353  974.8979    P20
  3852655.4500  3163232.6964  3967546.0697 1212.9438    P21
  3841388.7202  3174787.7642  3969252.2855 1227.3740    P22
  3829746.6886  3192007.0630  3966211.3840  917.1169    P23
  3815997.0330  3201521.3076  3972095.8298 1131.1588    P24
  3864189.9733  3125949.9531  3985296.5173  949.9391    P25
  3854526.7059  3139369.5591  3984319.2303 1079.1714    P26
  3846000.4077  3155485.8449  3979720.9171  995.2033    P27
  3832473.6909  3162964.8993  3986735.6872  967.9855    P28
  3817709.1749  3184479.5449  3984005.9802 1102.3138    P29
  3804658.2020  3194551.2806  3988254.8314 1013.8493    P30
  3855569.6812  3119634.2124  3998862.1906 1188.1038    P31
  3845683.5894  3129224.1122  4000752.1565 1110.6334    P32
  3830915.9054  3144046.0970  4003216.5646 1069.7537    P33
  3819470.9423  3162316.5864  3999901.3755 1144.8043    P34
  3809321.9242  3174043.2431  4000042.9187  989.8804    P35
  3798123.7668  3189609.1685  3998435.8579 1062.7764    P36
