#         X[m]          Y[m]          Z[m]      H[m]     PN
  3847231.6243  3108208.2161  4015716.2349 1234.1528    P01
  3831871.2570  3119598.1935  4021389.3539 1147.2010    P02
  3817400.2886  3139502.0367  4019853.3713 1261.3779    P03
  3810085.5323  3155785.5829  4013927.8597 1166.9670    P04
  3800670.2180  3164793.7208  4015998.1173 1325.0199    P05
  3789999.5763  3183009.5997  4011477.2463 1176.5483    P06
  3839846.6043  3096446.1590  4031591.3020 1144.7234    P07
  3823627.7226  3113300.9030  4033786.3918 1003.5402    P08
  3810441.2195  3129736.1324  4034043.4233 1319.2765    P09
  3799254.4289  3144925.5281  4032782.6191 1314.9166    P10
  3790894.3732  3160763.4628  4028232.4570 1275.6360    P11
  3777190.0202  3167868.7718  4035461.7453 1270.7808    P12
  3823573.3757  3093999.4347  4048670.5971 1073.3165    P13
  3813422.8408  3107004.5252  4048795.5249 1397.9381    P14
  3803012.7190  3122586.5262  4046155.9357 1106.1260    P15
  3794009.0915  3136258.7116  4044143.3698 1167.4528    P16
  3780057.0782  3146353.7758  4049364.5885 1190.4562    P17
  3761992.0866  3162460.3135  4054011.8075 1447.0572    P18
  3811769.5860  3088155.0817  4064166.2563 1096.5557    P19
  3803786.3469  3099094.0505  4063446.5688 1174.6547    P20
  3791095.1365  3111848.7699  4065684.0919 1264.6600    P21
  3783307.4769  3132490.1510  4057223.7059 1321.5201    P22
  3770944.7413  3135434.1304  4066023.0108 1087.7144    P23
  3755633.2296  3158688.3753  4061929.2914  902.7476    P24
  3807798.6527  3075592.4301  4077265.7168 1071.1491    P25
  3801708.7788  3094327.3722  4069496.2376 1504.1011    P26
  3787845.8346  3096661.0793  4079869.8552 1061.3478    P27
  3767212.8453  3117644.8402  4083213.3407 1218.0375    P28
  3756361.1086  3137083.3779  4078328.8178 1203.0909    P29
  3749932.1228  3149627.6133  4074844.4241 1360.5400    P30
  3799556.7473  3065242.6996  4092909.1735 1260.7132    P31
  3784262.9282  3080218.7973  4095782.5520 1240.2958    P32
  3773145.4603  3098881.1966  4091892.1392 1180.2194    P33
  3764786.0584  3111075.2002  4090257.0894 1121.1079    P34
  3752126.2585  3122649.2350  4093444.0834 1375.3170    P35
  3735508.7370  3136930.6990  4097478.4168 1237.7405    P36
