#         X[m]          Y[m]          Z[m]      H[m]     PN
  4262744.9185  2515093.8378  4010762.5310  797.8870    P01
  4253160.7120  2529886.6391  4011529.6116  735.7252    P02
  4240475.5865  2545195.4976  4015363.8295  809.3264    P03
  4232589.9595  2566885.4914  4009589.0702  607.0209    P04
  4222492.7744  2576162.0920  4014685.9803  882.2204    P05
  4216281.1449  2600265.8292  4005504.8647  743.1555    P06
  4251447.1648  2500935.2788  4031550.0406  883.4961    P07
  4241672.8177  2529027.8308  4024119.5800  729.4503    P08
  4232460.1333  2536842.3905  4029283.0174  994.5018    P09
  4219377.2929  2556747.9109  4030187.7004  850.4328    P10
  4213347.0485  2576253.7064  4023740.3007  615.3294    P11
  4206985.9096  2586992.0745  4023786.7201  792.2082    P12
  4242503.6488  2498709.8726  4042295.8072  903.4213    P13
  4227866.6117  2515145.2743  4047311.0663  846.4252    P14
  4216237.7007  2535927.5261  4046286.7196  723.7159    P15
  4209096.5397  2552397.6891  4043754.4437  959.7956    P16
  4202335.7496  2567076.3848  4041210.7922  769.9676    P17
  4188299.9302  2577600.2561  4049264.4487  924.4847    P18
  4227627.0802  2501349.1697  4056020.3806  831.9846    P19
  4224224.9386  2510908.2620  4053515.4816  730.8479    P20
  4208976.0097  2520731.6915  4063388.3123  849.1675    P21
  4195650.3846  2545994.4748  4061294.0334  760.8767    P22
  4188444.1303  2561094.9959  4059425.7031  872.7557    P23
  4180081.3477  2575612.9707  4058715.9168  778.1579    P24
  4214286.6740  2486502.0336  4078597.8142  692.9730    P25
  4204804.4316  2507727.4222  4075501.3002  751.7689    P26
  4199147.8255  2522405.7683  4072087.2291  618.1782    P27
  4192666.5271  2536379.8059  4070374.2054  795.0679    P28
  4180127.4039  2548441.2336  4075717.3658  807.9656    P29
  4168533.1412  2569483.4911  4074351.9326  784.3320    P30
  4206825.7862  2482255.1885  4088930.9859  774.0328    P31
  4198146.6145  2497715.9251  4088409.4976  754.8320    P32
  4185921.5293  2511478.3460  4092434.2181  722.7904    P33
  4173911.0885  2530682.8145  4092921.6494  757.4262    P34
  4165803.5087  2548059.6968  4090155.2589  589.2921    P35
  4158508.4890  2562272.1006  4088898.0977  710.9864    P36
