#         X[m]          Y[m]          Z[m]      H[m]     PN
  4105921.0145  3074756.4580  3779191.8913  804.9164    P01
  4094895.8347  3085936.9020  3781923.7828  746.8864    P02
  4082960.6886  3104880.5183  3779410.6169  789.9499    P03
  4071444.0309  3117451.7591  3781517.5742  817.5361    P04
  4057263.1050  3133824.7322  3783209.9807  815.4607    P05
  4043323.8007  3149868.5605  3784736.8001  779.1746    P06
  4092925.1544  3067040.6967  3799576.5124  928.7697    P07
  4078954.6066  3079101.2416  3804992.8085 1040.7104    P08
  4068973.6236  3102717.5576  3796392.5944  951.6910    P09
  4059019.1856  3108819.0073  3801476.4019  628.7554    P10
  4045106.2192  3129368.9819  3799744.5977  801.0667    P11
  4032075.7564  3141568.9833  3803571.2003  844.2868    P12
  4083995.5338  3063632.4584  3811776.3636  894.8697    P13
  4073685.7343  3070192.3107  3817155.5462  694.9447    P14
  4060060.2025  3091170.9570  3815323.8711 1036.6242    P15
  4046034.0562  3102324.5823  3820816.2258  849.3785    P16
  4035821.2243  3126089.2843  3812272.1579  836.4509    P17
  4027231.9021  3133168.8114  3815305.4101  707.3702    P18
  4073475.3394  3050335.4934  3833533.7289  921.4788    P19
  4061315.3765  3067945.4515  3832213.1761  814.5644    P20
  4048457.2954  3080931.4784  3835331.3209  787.0586    P21
  4037095.7585  3100601.6072  3831787.0577  973.3277    P22
  4025146.2807  3111222.5783  3835506.3592  844.1793    P23
  4011840.7080  3130248.6811  3833950.3742  829.2500    P24
  4061743.2290  3044638.3120  3850305.6764  887.8454    P25
  4050410.8937  3060628.3634  3849679.7370  954.2207    P26
  4038862.3667  3075292.7745  3849839.0828  781.7914    P27
  4027241.2191  3091075.7670  3849428.6609  814.0702    P28
  4016907.9287  3106977.9421  3847211.1183  678.2113    P29
  4004458.9794  3119075.4752  3850718.3649  885.6263    P30
  4053274.3276  3039134.0303  3863179.0005  711.7720    P31
  4041867.3597  3050346.4859  3866838.4421 1057.4278    P32
  4030370.0257  3070181.1131  3862830.8973  854.6042    P33
  4020987.8805  3082383.1494  3862938.5301  884.1031    P34
  4011433.5375  3099496.3759  3859165.9439  862.9035    P35
  3996579.2662  3107615.7408  3867935.5064  836.7230    P36
