#         X[m]          Y[m]          Z[m]      H[m]     PN
  3839000.5015  3004273.4915  4099306.2916    8.0696    P01
  3829631.2356  3031856.4831  4087811.0480    0.4878    P02
  3822759.6857  3035406.6079  4091580.9941    0.4966    P03
  3809393.0890  3053363.7935  4090692.7357    0.4403    P04
  3798073.7208  3066972.0501  4091035.5849    0.4195    P05
  3785194.2238  3080901.9243  4092495.4658    0.4564    P06
  3833100.8243  3002256.9238  4106240.5381    0.4619    P07
  3822860.8761  3015669.0394  4105959.7675    0.4795    P08
  3816227.1706  3033722.2843  4099156.8518  184.1475    P09
  3805988.5957  3040405.0893  4103507.6660   64.9092    P10
  3789797.6462  3056886.0874  4106129.8017    0.4190    P11
  3778158.4188  3074765.9120  4103588.1091   42.9139    P12
  3822230.1974  2988226.6580  4126546.1884   81.5285    P13
  3811262.3811  3012769.4578  4118805.4381   26.8401    P14
  3803167.7044  3020080.8472  4120877.4769    0.4749    P15
  3792046.4742  3037554.0997  4118299.8358    0.4386    P16
  3778014.7220  3046681.7679  4124800.2701  255.9698    P17
  3764001.0975  3067302.1902  4121951.5320    0.4599    P18
  3812509.8748  2984456.6102  4138213.8198  110.3238    P19
  3799500.2674  2998780.1182  4139656.6482    8.6236    P20
  3790990.8514  3017501.3350  4134158.1340  183.9136    P21
  3783224.4726  3027697.3598  4133763.8999  147.1504    P22
  3769470.2938  3039832.1599  4137171.4888    0.4251    P23
  3758854.8678  3059501.3570  4132360.4353    0.4852    P24
  3805010.4261  2972336.5803  4153534.5359    0.3957    P25
  3790011.9483  2991431.7147  4153668.4817   86.0906    P26
  3779092.2046  3006339.7092  4152728.9509    0.4813    P27
  3769074.4959  3020740.4969  4151391.9048    0.4286    P28
  3759599.0303  3035004.5663  4149823.1414  151.5384    P29
  3746325.8713  3045768.2762  4153845.0879  108.3478    P30
  3791373.9111  2969450.5750  4167942.9048    0.4495    P31
  3781790.8741  2983877.8805  4166513.0809  104.1715    P32
  3772068.0868  2997661.5678  4165318.4074   24.7843    P33
  3759288.3577  3009464.0427  4168372.1373   46.6259    P34
  3746059.4786  3026272.2863  4168090.9916   30.9932    P35
  3737949.9081  3042966.1644  4163246.6296   29.5626    P36
