#         X[m]          Y[m]          Z[m]      H[m]     PN
  3812223.8880  3078800.4172  4070923.5435 1183.7883    P01
  3803360.0925  3101406.8588  4062092.4884 1176.4459    P02
  3794124.4624  3106536.7584  4066680.6586 1116.0502    P03
  3781659.5034  3126484.6665  4063165.6477 1205.3079    P04
  3769496.0449  3136004.4744  4067292.0412 1326.1624    P05
  3759504.5407  3157303.4061  4059680.9031 1056.1805    P06
  3812587.5453  3070449.4887  4076747.2521 1120.5173    P07
  3796711.7886  3083544.9511  4081698.5072 1155.8879    P08
  3783355.9467  3103075.9774  4079220.6665 1096.3667    P09
  3771366.5575  3114163.6657  4081784.6402 1051.6381    P10
  3757521.9460  3130258.1871  4082319.8835 1103.9598    P11
  3745125.9108  3144824.9185  4082244.5842  930.9794    P12
  3794397.0451  3064982.8684  4097604.7659 1099.6454    P13
  3787587.5309  3083147.8720  4090605.4152 1284.0416    P14
  3775609.0101  3088138.5421  4097889.9285 1304.0502    P15
  3762724.6680  3111052.7556  4092055.1282 1054.9578    P16
  3751479.8049  3118470.9270  4097329.9643 1462.6367    P17
  3734403.3917  3134957.2290  4099615.3901 1002.9401    P18
  3779849.5200  3055659.1154  4117978.8082 1198.2085    P19
  3771146.6304  3076129.5284  4110646.2688 1125.0050    P20
  3758868.0368  3080565.6700  4118639.1233 1209.7129    P21
  3745383.4758  3103769.3414  4113412.5347 1130.7595    P22
  3736323.4368  3113564.8431  4114167.9946 1081.7807    P23
  3725690.0112  3129852.3109  4111643.9325 1194.9601    P24
  3777892.8496  3049583.8538  4124161.2841 1153.1524    P25
  3764795.1379  3059119.4759  4129043.8173 1156.2299    P26
  3747558.3081  3075206.7977  4132522.0159 1009.5182    P27
  3733850.9875  3092480.5029  4132446.6551 1272.5939    P28
  3722673.6414  3106876.2515  4131565.8244 1161.1376    P29
  3713211.3545  3121983.8263  4128772.0719 1201.0484    P30
  3768227.1035  3044053.6701  4137122.3731 1245.2963    P31
  3757460.2419  3050025.4243  4142084.9952  989.9026    P32
  3740342.7527  3066478.1641  4145451.6857 1019.5206    P33
  3727513.0160  3084127.8732  4144265.2403 1242.7601    P34
  3717760.0884  3098241.1471  4142579.2566 1287.7151    P35
  3707373.5025  3111334.6478  4141785.1832 1097.1421    P36
