#         X[m]          Y[m]          Z[m]      H[m]     PN
  4191577.3346  3020278.5343  3727850.5379   77.2780    P01
  4180023.5721  3035048.8830  3728910.5350  128.7175    P02
  4168367.6009  3052175.2867  3727837.1571   40.9171    P03
  4156039.3954  3066252.1284  3730092.7112   75.3440    P04
  4143797.0544  3084455.6118  3728943.1948  210.1593    P05
  4132551.5913  3099067.3141  3729034.3190   50.9991    P06
  4180932.6527  3012941.1110  3745526.0208   44.4757    P07
  4168854.4357  3028664.3944  3746325.6934   56.8921    P08
  4155172.3309  3043950.6398  3749115.4611   56.3863    P09
  4147417.2116  3066094.2164  3740075.6930  272.2262    P10
  4135750.4858  3070419.2490  3749260.9832  206.1550    P11
  4120721.9178  3095241.7863  3745133.6127   35.7628    P12
  4170943.8748  3005504.2519  3762622.5454  126.1057    P13
  4159775.8180  3023043.0132  3760831.5628   56.3599    P14
  4150323.3611  3038211.6202  3758967.7758    0.4025    P15
  4137556.8071  3050849.0788  3762778.1202    0.4447    P16
  4125767.5149  3071247.0781  3759158.2196    4.0866    P17
  4114861.2633  3083002.3026  3761817.9716  208.3011    P18
  4161084.7769  2998792.2253  3778540.7409    0.4115    P19
  4151734.2308  3016911.0412  3774518.6129   53.5909    P20
  4141161.9784  3028345.1569  3777269.7840  238.1197    P21
  4125791.7557  3044578.3220  3780726.5997   67.1551    P22
  4115679.5278  3065848.4272  3774483.7508    0.4300    P23
  4108129.1276  3076822.8767  3773942.8826   95.4380    P24
  4151729.0220  2987070.8677  3798102.7363   99.6025    P25
  4137587.4382  3010747.8649  3794707.6342    8.3375    P26
  4130574.1030  3025604.9450  3790643.4393   59.3866    P27
  4120185.0218  3037057.9250  3792985.6743  183.8371    P28
  4103408.2971  3051709.2428  3799318.6243  156.7369    P29
  4093823.7849  3076839.0754  3789600.1766  250.9125    P30
  4146414.7840  2982465.2604  3807288.4190    0.4510    P31
  4132696.5840  2998621.5723  3809563.2798   39.6171    P32
  4118718.3843  3015286.8806  3811572.1149   62.4552    P33
  4105250.9415  3031995.0389  3812795.4159   35.5577    P34
  4096667.4422  3051385.4621  3806729.0473  116.7749    P35
  4087405.3150  3061075.6435  3809092.5944  238.2796    P36
