#         X[m]          Y[m]          Z[m]      H[m]     PN
  4369046.9268  2566178.4592  3862632.4911 1037.9694    P01
  4360067.3621  2584908.3066  3860474.7208 1141.7080    P02
  4352122.2399  2600047.4104  3859014.7176  979.9803    P03
  4342109.1588  2614956.6254  3860351.4464 1063.5260    P04
  4331464.6889  2632584.2966  3860416.2591 1116.2894    P05
  4322865.4609  2649990.6214  3858080.5190 1067.3704    P06
  4359239.8170  2556725.2375  3879890.6139 1075.5775    P07
  4348089.2577  2579257.9223  3877521.7753 1086.3246    P08
  4339734.4334  2593912.8380  3877154.3307 1114.2633    P09
  4329569.6362  2609814.5358  3877670.7494 1008.4551    P10
  4318486.4272  2626287.6532  3878683.9706  876.1584    P11
  4308321.3692  2643920.2926  3878176.7733  976.5038    P12
  4346925.7006  2554318.4563  3894956.6604  950.9678    P13
  4334590.4730  2570307.4560  3898491.9483 1153.1298    P14
  4324912.9283  2590871.5057  3895405.1476 1005.0087    P15
  4314497.3031  2603494.5174  3898669.1528 1097.6476    P16
  4307582.2085  2625522.2362  3891167.9077  842.2824    P17
  4297442.7090  2633184.6247  3897516.3211 1063.4787    P18
  4336988.6756  2552352.9647  3907710.6719 1252.1077    P19
  4331699.5682  2564685.5471  3905170.6677 1038.8654    P20
  4318382.7753  2576245.4587  3911969.6912  862.0835    P21
  4304883.3827  2598561.1820  3912458.8394 1090.5408    P22
  4298309.7648  2617386.0101  3907033.8174 1006.7864    P23
  4284424.0593  2625022.4368  3917098.7477 1017.0693    P24
  4323471.2849  2548706.3912  3924641.4781 1081.7510    P25
  4313789.2195  2555424.9162  3930772.7984 1015.4350    P26
  4303325.9643  2578635.1658  3927208.1681 1078.3319    P27
  4298524.6455  2593822.9876  3922505.8632 1085.9675    P28
  4289694.1002  2605295.3203  3924239.1870  889.8388    P29
  4276174.7190  2621608.2624  3928281.2107 1000.6744    P30
  4315860.3221  2538787.7097  3938981.9950  870.8641    P31
  4307566.3352  2550140.4201  3940944.7627 1013.6751    P32
  4296390.3612  2567860.3192  3942067.9012 1283.5056    P33
  4284969.9649  2584351.0972  3943413.0045 1098.3520    P34
  4274540.5553  2602026.2668  3942875.7731  952.4794    P35
  4265502.1799  2618311.8692  3941909.0187  965.0311    P36
