#         X[m]          Y[m]          Z[m]      H[m]     PN
  4297821.8969  2833359.6559  3753269.7716   13.7623    P01
  4287198.9400  2848068.3247  3754256.5377    0.4877    P02
  4273083.5588  2863405.5620  3758649.0835    0.4955    P03
  4261062.2567  2884247.6258  3756433.0541   36.2771    P04
  4253794.7741  2900288.3022  3752281.9821    0.4292    P05
  4245651.0643  2913445.9856  3751389.5872   43.2431    P06
  4287000.9580  2822194.8292  3774039.4568  119.0345    P07
  4273474.5049  2844329.3831  3772571.4214    0.4841    P08
  4261779.6021  2858333.8133  3775460.2652  156.4273    P09
  4252837.7108  2879268.3073  3769404.6778    0.4628    P10
  4244296.7516  2889866.4440  3770908.9157    0.4405    P11
  4230783.4104  2906138.9709  3773632.4948   39.0861    P12
  4273235.4768  2820320.5125  3790745.8966   25.4076    P13
  4265240.2879  2839529.5352  3785399.7224    0.4545    P14
  4256997.3746  2851046.2869  3786081.0787   37.9651    P15
  4246957.8206  2868607.4408  3784039.1851    0.4730    P16
  4235286.6901  2881818.5174  3787075.3126   10.7328    P17
  4224419.0380  2901711.7016  3784097.5301   46.0410    P18
  4271734.1660  2812435.9134  3798262.4843   38.8071    P19
  4259164.4905  2825047.9630  3803032.9025   67.3603    P20
  4243838.7990  2843949.9186  3805945.0456    0.4379    P21
  4233044.5585  2863713.2954  3803162.2631    0.4768    P22
  4222768.9265  2876880.0540  3804750.1945   68.8673    P23
  4212253.3104  2895148.4910  3802444.9146    0.4829    P24
  4256939.4116  2805332.5407  3819857.5590    0.4543    P25
  4246259.7142  2823086.0547  3818905.8687  140.8589    P26
  4236959.0586  2838974.3756  3817233.8645    0.4417    P27
  4225495.4195  2852744.1540  3819657.7872    0.4848    P28
  4211971.6698  2869967.3737  3821758.9045   50.1548    P29
  4200925.2640  2888450.5549  3820021.6923   63.4711    P30
  4245596.5538  2799544.6489  3836692.8662   69.6231    P31
  4236649.2408  2817545.3477  3833313.1893    0.4772    P32
  4224106.1898  2828428.4500  3839151.7092   33.1413    P33
  4212010.2029  2850669.9828  3836165.3038  126.1559    P34
  4202952.6268  2864235.6145  3835829.7720   25.9956    P35
  4194686.2129  2881719.8753  3831761.8964    0.4712    P36
