#         X[m]          Y[m]          Z[m]      H[m]     PN
  4267337.0229  2300878.4101  4130777.1043  110.5282    P01
  4256393.3460  2310995.6100  4136619.1088  267.6133    P02
  4248626.4811  2334343.1270  4131404.9290  188.8418    P03
  4237635.4229  2343434.0425  4137314.1815   67.1112    P04
  4228731.1771  2366467.5140  4133236.9695    0.3845    P05
  4222778.8159  2379644.5879  4131985.1780  142.7420    P06
  4256237.7488  2291318.0655  4147465.4744  156.1703    P07
  4242300.3261  2304889.1106  4153978.4792   27.2970    P08
  4231185.4432  2327311.4993  4152779.4049    0.4262    P09
  4225327.7125  2343734.2144  4149712.1785  120.7613    P10
  4216219.1525  2356102.8601  4152260.1298  319.2966    P11
  4204389.2880  2373331.8941  4153972.9368   21.0244    P12
  4236274.6202  2288259.1774  4169488.9937  222.4699    P13
  4230127.9375  2305952.8382  4165832.9124  110.4278    P14
  4222465.9278  2318571.7210  4166957.3519  347.4567    P15
  4214928.1911  2336478.8254  4164315.6084  159.8655    P16
  4203942.9352  2348466.2941  4168705.7354  199.7118    P17
  4197423.3882  2370873.3246  4162480.8866  102.8970    P18
  4231920.1484  2278182.3531  4179065.2887   34.0911    P19
  4220756.6913  2294556.5115  4181458.1344   85.4292    P20
  4212636.1578  2313669.3939  4179025.9834   16.9240    P21
  4202709.7358  2326354.3126  4182320.1675  256.4706    P22
  4193954.1743  2346022.8873  4179868.5042   80.1453    P23
  4183000.8381  2358163.3580  4183861.4264    0.4320    P24
  4215213.3134  2276270.1795  4197067.0173  188.1781    P25
  4208600.7004  2291064.0927  4195444.8031   44.3985    P26
  4202814.8585  2306954.8309  4192579.9823   60.9523    P27
  4191431.4246  2318222.5061  4197659.1890   19.5325    P28
  4182075.1730  2339759.3108  4195431.6666  267.1302    P29
  4174261.6773  2353547.2613  4195318.1173  147.0816    P30
  4209129.0967  2268658.7288  4207127.1503  130.9128    P31
  4199686.5976  2280468.6140  4210140.5129  120.4760    P32
  4184328.5034  2296256.1816  4216856.1449  158.2664    P33
  4171175.1655  2317419.3710  4218097.3811   24.9769    P34
  4167799.4004  2337891.3022  4210410.3009  176.2812    P35
  4163909.3773  2347608.4849  4208745.8649   99.3279    P36
