#         X[m]          Y[m]          Z[m]      H[m]     PN
  4498820.2788  2279590.6416  3891419.1415    0.4912    P01
  4489626.6497  2295167.8938  3892870.2831    0.4580    P02
  4477145.9568  2311972.7975  3897272.9181    3.7225    P03
  4467955.2042  2333803.8423  3894817.7085    0.4666    P04
  4462652.7345  2349921.2237  3891227.5641    0.4569    P05
  4454783.9669  2363405.9155  3892299.5736  140.7144    P06
  4486065.9051  2272734.7992  3910253.0813  165.9552    P07
  4477014.6604  2291893.4959  3909323.1604   88.0852    P08
  4471151.2768  2309424.5147  3905595.9497    0.4724    P09
  4459102.4238  2320597.9125  3912693.4441    0.4548    P10
  4451633.8528  2346351.7050  3905878.4753    0.4692    P11
  4442435.5275  2355413.8691  3910860.1300    0.4158    P12
  4475566.8154  2270482.0009  3923335.5717   75.3163    P13
  4465510.6747  2282921.2188  3927424.1577    0.4969    P14
  4456360.9388  2304362.7788  3925307.5879    0.4627    P15
  4447697.4182  2318993.8659  3926778.1599  167.2308    P16
  4439741.0776  2337942.9237  3924417.2262   79.2187    P17
  4433158.2287  2353458.6211  3922468.9254    0.4782    P18
  4467954.7155  2261831.0210  3936773.3661    0.4871    P19
  4457150.1356  2275991.4598  3940854.3128   15.6236    P20
  4444938.1428  2295733.6491  3943164.2482    6.0141    P21
  4437891.0351  2316167.3534  3939208.6013   25.8997    P22
  4423153.0510  2325452.7829  3950183.0030    0.3914    P23
  4419547.9020  2357593.8686  3935445.0789  128.4155    P24
  4453543.9101  2251232.3303  3959141.0206  110.3634    P25
  4444118.3920  2276658.1597  3955137.5874   60.5804    P26
  4438617.5419  2290726.7913  3953260.5928   95.7756    P27
  4427438.4690  2304200.9232  3957778.1703    0.4712    P28
  4412582.5398  2323051.2001  3963308.1027    0.4278    P29
  4406099.5199  2347402.4742  3956213.1731    0.4662    P30
  4448034.5747  2254106.9623  3963572.4592   52.0083    P31
  4436087.2832  2259823.7585  3973549.4698    3.9141    P32
  4420498.3284  2284408.9568  3976835.3959    0.3947    P33
  4414294.4984  2306269.8137  3971373.5754  145.5582    P34
  4405346.0292  2316690.4918  3975074.2516   56.1496    P35
  4398529.4945  2338803.2313  3969770.0307   96.0276    P36
