#         X[m]          Y[m]          Z[m]      H[m]     PN
  4031235.0381  2634449.7525  4169286.7897  797.7005    P01
  4018091.0086  2645688.2453  4174786.9276  777.4975    P02
  4009584.2924  2668677.8215  4168572.2893  909.3016    P03
  3999184.4665  2676171.8794  4173560.7245  804.4543    P04
  3983605.5590  2693882.9114  4177090.5847  838.0508    P05
  3976422.9712  2715415.9116  4169620.1950  567.3348    P06
  4018657.8504  2624758.9176  4187296.9655  743.6773    P07
  4009150.7765  2643219.3827  4184908.9094  806.4829    P08
  3997895.8911  2654768.5179  4188208.7446  719.2054    P09
  3988205.5834  2674329.9949  4185320.5582  915.8976    P10
  3981116.5368  2687950.4875  4183231.5146  833.0097    P11
  3972391.8319  2701668.1105  4182588.2257  764.4574    P12
  4011592.7375  2617318.6861  4198594.8450  715.8823    P13
  3997506.5516  2630932.1789  4203546.1344  756.1510    P14
  3980698.2152  2647573.1356  4209054.6535  787.3251    P15
  3973555.1400  2671342.2278  4200894.8510  828.4896    P16
  3970068.5986  2681064.9257  4197880.4927  738.8751    P17
  3959032.2331  2692032.6724  4201128.6958  651.9320    P18
  3995132.4927  2610699.2825  4218143.9567  658.4901    P19
  3986608.1039  2629127.6832  4214983.3826  790.2417    P20
  3975953.7483  2639966.8492  4218561.6056  998.4872    P21
  3963129.5602  2657405.3281  4219199.8374  684.3364    P22
  3954726.7941  2674684.2087  4216629.3995  979.6692    P23
  3945641.9605  2687132.5531  4217130.0499  919.2670    P24
  3984048.9047  2604305.1684  4232375.5724  604.7943    P25
  3979754.9393  2623646.7826  4224844.7289  822.6964    P26
  3968726.3000  2628864.4522  4231891.6159  802.9364    P27
  3954799.9387  2649878.9554  4231860.5213  827.8985    P28
  3943072.8315  2663775.4885  4234263.0157  961.6647    P29
  3932909.2337  2681587.5472  4232166.5645  750.1693    P30
  3973930.0874  2597785.7055  4246232.7828  908.2274    P31
  3965739.3951  2612758.4522  4244379.2145  683.2883    P32
  3955873.9581  2625862.6888  4245823.6638  906.1473    P33
  3943609.9270  2640975.0243  4247604.4140  745.3140    P34
  3932745.6730  2657734.0661  4247473.8073  910.8774    P35
  3923042.3385  2672701.2349  4246918.7464  817.7695    P36
