#         X[m]          Y[m]          Z[m]      H[m]     PN
  4088095.7166  2899437.3891  3933309.6004 1047.7198    P01
  4075128.3921  2915230.1331  3934995.6884  995.2103    P02
  4067202.9129  2935167.9982  3928480.9782 1037.4471    P03
  4057669.5667  2943729.7478  3931627.4439  862.9789    P04
  4045976.2700  2962876.7774  3929819.0251 1178.3831    P05
  4035041.6001  2976040.1403  3930781.4316  977.0608    P06
  4078884.3540  2891448.6274  3948814.6309 1168.3561    P07
  4067272.6295  2909129.5990  3947668.8057 1079.0916    P08
  4054805.5595  2922267.0217  3950722.1148 1050.3209    P09
  4043358.8916  2941288.7597  3948393.5954 1075.2679    P10
  4034892.7575  2955770.5628  3946242.3636 1068.1347    P11
  4025414.0533  2969766.9906  3945607.6434 1185.3111    P12
  4071866.4119  2885087.9526  3960311.5010  980.2777    P13
  4059877.4526  2898696.4876  3962873.2802 1109.7492    P14
  4046673.3880  2915666.0570  3963892.4980 1091.0159    P15
  4032927.3390  2930434.6872  3967147.7399 1190.3353    P16
  4022328.1197  2950178.1403  3963116.7746 1076.1337    P17
  4013798.7719  2962548.5405  3962298.2698  924.9945    P18
  4058554.4841  2876961.4723  3979596.6464  909.6635    P19
  4049169.4114  2895467.0369  3976109.6169 1129.3142    P20
  4039898.6187  2907664.0955  3976557.5209 1080.1345    P21
  4028218.2513  2923200.4864  3977105.0311 1137.6801    P22
  4011420.0961  2935030.2882  3985300.7740 1133.4370    P23
  3996896.5616  2958062.9616  3982947.3479 1176.6682    P24
  4049584.3998  2876434.7774  3988988.0134  876.5526    P25
  4038970.4476  2880415.0997  3997115.6808 1065.0215    P26
  4025451.3403  2903865.0758  3993806.4034 1064.9965    P27
  4013590.5037  2914503.8121  3997913.4388 1033.3252    P28
  4004070.5216  2936081.7764  3991808.5175 1096.3752    P29
  3994046.1996  2944512.5683  3995565.8530 1066.5991    P30
  4041848.8455  2867240.2192  4003581.8949 1034.9369    P31
  4032912.2864  2874634.2409  4007528.9389 1201.5418    P32
  4018712.0000  2892401.1433  4008818.0691 1086.5195    P33
  4005776.8481  2907999.4040  4010576.4431 1155.6530    P34
  3996376.7338  2926613.1199  4006407.5895 1134.9248    P35
  3984760.2895  2936298.7488  4010763.7736 1074.8681    P36
