#         X[m]          Y[m]          Z[m]      H[m]     PN
  4282481.8459  2174834.1767  4182910.0579  240.8522    P01
  4273619.4371  2189740.7551  4184179.9233  235.6631    P02
  4262886.4687  2206214.7814  4186516.8234  274.3895    P03
  4254551.3434  2225100.5470  4185011.1379  275.0290    P04
  4247195.2783  2240181.9506  4184295.6042  179.1786    P05
  4238515.5555  2255534.1660  4184917.6728  226.8524    P06
  4267428.2735  2168355.6830  4201338.2037  139.2746    P07
  4258758.8147  2185884.0153  4201019.5097  116.7850    P08
  4257738.1577  2205541.1997  4191917.6308  173.9124    P09
  4248467.8189  2210950.3428  4198162.8484    0.3935    P10
  4235252.8903  2231813.3166  4200777.7398  210.9963    P11
  4226899.2114  2250833.1850  4199395.2533  436.5624    P12
  4257085.6558  2162181.2757  4214891.6958  133.8894    P13
  4250348.1673  2179812.0095  4212854.9654  287.0899    P14
  4244288.8532  2194739.6296  4211138.8595  230.5649    P15
  4236368.5475  2209229.5233  4211847.6600  438.4677    P16
  4223864.5551  2223855.2743  4216141.3611   84.6762    P17
  4217373.9825  2246141.0827  4211009.9920  186.6033    P18
  4245719.1396  2152663.5949  4231222.4955  223.3054    P19
  4240894.8052  2176315.9714  4223766.1752   65.5041    P20
  4234329.8405  2185045.4882  4226080.9171  231.8248    P21
  4220452.7413  2200767.0132  4231733.9700  212.9593    P22
  4209232.2270  2221766.6010  4231771.2177  104.2264    P23
  4199806.1053  2237406.2729  4232911.2126  119.8128    P24
  4230016.9551  2152398.5259  4246860.1134  163.6443    P25
  4226564.3493  2169694.7928  4241671.2499  259.0365    P26
  4218975.8752  2180200.3049  4243710.9897  183.5754    P27
  4208712.2841  2197608.5171  4245249.7049  408.2455    P28
  4197901.0295  2213922.9636  4247186.6626  224.4242    P29
  4191908.0839  2233550.0713  4242903.3629  256.5069    P30
  4221968.1725  2142549.9252  4259732.9017  156.9321    P31
  4214299.5013  2161020.5942  4257956.6792  123.0155    P32
  4209843.9764  2177038.6698  4254336.9826  196.4094    P33
  4196384.7344  2186223.2567  4262962.5115  266.8618    P34
  4184249.4429  2209920.3789  4262612.0988  226.0721    P35
  4178517.3768  2226917.3601  4259421.7075  235.0450    P36
