#         X[m]          Y[m]          Z[m]      H[m]     PN
  4141138.9945  2756508.4748  3979834.9641  948.1484    P01
  4128871.8162  2767755.3305  3984861.0035 1025.0192    P02
  4119066.2751  2790009.8925  3979481.4340 1000.0676    P03
  4110047.0138  2800269.3055  3981457.8227  919.9423    P04
  4098382.8738  2817701.7472  3981426.1236 1071.6808    P05
  4089439.3084  2834391.4652  3978701.5589 1014.5340    P06
  4129794.9328  2744227.8592  4000052.3952 1029.5848    P07
  4115803.0952  2764388.3650  4000462.5802  950.6671    P08
  4107554.5174  2782162.5247  3996699.7706  986.8592    P09
  4097690.4047  2793700.3645  3998870.3885 1054.8131    P10
  4085443.8633  2810790.8770  3999350.9087 1010.9480    P11
  4075430.8124  2827448.4283  3997400.3792  737.1887    P12
  4119185.6823  2740986.5241  4013350.7179 1185.1716    P13
  4108365.6142  2756427.8596  4013263.3324  805.8955    P14
  4095073.8521  2770366.1787  4017286.9027  847.1176    P15
  4084957.8532  2791116.1153  4013783.5500 1186.2579    P16
  4078112.9177  2804742.1363  4010684.5937  821.5750    P17
  4066250.4128  2815949.3609  4015186.4677 1037.8144    P18
  4103948.5959  2733179.0812  4033708.4843  941.4552    P19
  4100622.2117  2757160.8599  4020564.9931  769.1415    P20
  4089342.2975  2756450.7627  4032592.0723  864.2531    P21
  4075367.8201  2784183.9047  4027914.5784  990.2278    P22
  4067523.4538  2795800.3695  4027836.4901 1014.9667    P23
  4056663.4962  2811027.2544  4027829.9063  787.7375    P24
  4097383.9869  2725426.2424  4045585.4257  976.2614    P25
  4085399.6951  2742436.6600  4046090.1009  902.7062    P26
  4074375.9364  2758269.8302  4046922.9915 1210.3156    P27
  4062300.8905  2773486.3042  4048189.3536  916.5980    P28
  4051343.8210  2790455.2547  4047907.8759 1169.0035    P29
  4040076.7160  2804897.3998  4048840.5887  953.1974    P30
  4083287.6052  2722455.6311  4061775.5811 1026.6122    P31
  4075934.9475  2736838.4301  4059448.5920  987.9815    P32
  4067940.0047  2751210.2948  4057751.9543  980.3776    P33
  4050949.9134  2760207.4867  4068625.6063 1027.9750    P34
  4039911.9037  2788485.5502  4060169.0137  902.4701    P35
  4036258.7208  2798458.7836  4057353.3161 1153.4346    P36
