#         X[m]          Y[m]          Z[m]      H[m]     PN
  4240983.1707  2383219.2752  4111149.1520    0.4870    P01
  4229191.2223  2397438.7949  4115000.5833    0.4498    P02
  4220708.6921  2418369.3245  4111484.8234    0.4107    P03
  4213073.2886  2431273.5036  4111703.7347    0.4564    P04
  4204559.2237  2448004.7053  4110571.4229   47.1343    P05
  4193292.1720  2461520.4627  4113912.9196    0.4724    P06
  4226354.3756  2377784.0882  4129271.6048   47.9529    P07
  4218613.9425  2394599.3543  4127536.3292   83.6552    P08
  4211974.0809  2410047.8600  4125226.8428    9.6107    P09
  4203130.4708  2423658.4490  4126251.8455    0.4816    P10
  4193720.1151  2440755.8683  4125751.5371    0.4949    P11
  4182349.4657  2454924.7925  4128864.6187    0.4615    P12
  4213604.3107  2370154.5020  4146648.6291  122.4406    P13
  4201956.8751  2387475.2308  4148332.0637    0.4956    P14
  4196141.3207  2407395.9427  4142739.5581    0.4884    P15
  4188134.2881  2417559.2889  4144907.9465    0.4576    P16
  4182084.3075  2437866.9072  4139157.0123    0.4954    P17
  4173567.2811  2447545.6160  4142125.4470   68.7520    P18
  4207383.6925  2364251.0025  4156073.1117    0.4907    P19
  4198566.3844  2378899.0122  4156627.5453    0.4906    P20
  4190491.9886  2396091.2393  4154911.6832    0.4173    P21
  4181625.5648  2410209.0148  4155843.1905  111.8276    P22
  4170985.9478  2426279.8819  4157358.2743  232.6447    P23
  4156253.7863  2440609.2103  4163409.1353   56.6374    P24
  4192275.4968  2362676.4359  4172095.8460    0.4623    P25
  4185454.0927  2372378.0674  4173429.8406    0.4455    P26
  4178121.8914  2390832.9625  4170265.3008    0.4075    P27
  4168739.5463  2402915.4279  4172815.8609   81.5683    P28
  4159947.2613  2421898.8204  4170662.7760  103.4903    P29
  4149737.0273  2434637.6163  4173367.6021   83.7231    P30
  4185565.1742  2352826.1782  4184492.4821  128.2821    P31
  4175451.8918  2363388.4193  4188515.1317   63.4884    P32
  4165488.2297  2383437.3649  4187375.9608  256.2188    P33
  4155865.4298  2397516.8974  4188501.4209    0.4108    P34
  4147383.1666  2415222.9187  4186748.0723    0.4843    P35
  4144881.4573  2432905.0560  4179078.9425   30.5910    P36
