#         X[m]          Y[m]          Z[m]      H[m]     PN
  4287759.0889  2673850.1155  3880475.9753 1004.7394    P01
  4279667.1213  2692454.3116  3876671.3821 1067.2252    P02
  4270670.5336  2704977.7932  3877987.1421 1141.2404    P03
  4259213.4229  2722015.5587  3878450.8543 1012.7029    P04
  4249322.6932  2739188.7676  3877259.6182 1038.6932    P05
  4238618.6800  2753747.0845  3878469.0338  925.8899    P06
  4278229.9844  2666552.8191  3895779.5717  942.4266    P07
  4268930.6676  2684979.1793  3893495.9413 1037.8376    P08
  4259822.8210  2699157.8388  3893637.4223 1020.0681    P09
  4245341.0934  2712875.0370  3900158.0078 1195.0985    P10
  4234746.2175  2736534.8705  3894677.9086  888.5913    P11
  4228250.1393  2748871.5892  3893219.7599  987.5622    P12
  4265200.0336  2656968.7090  3916586.8431 1044.4406    P13
  4253486.0165  2680999.6239  3912974.2312 1045.3381    P14
  4246938.7681  2695222.4660  3910231.9758  983.9710    P15
  4234096.3701  2706522.6926  3916247.6612  947.0686    P16
  4220931.0827  2728015.3249  3915617.3138  987.8715    P17
  4214571.3114  2745927.6973  3910045.9171 1028.0316    P18
  4257246.5846  2653056.4887  3927773.8294 1028.0236    P19
  4244465.7267  2669779.0902  3930351.4740 1086.3194    P20
  4233999.6407  2688774.5248  3928628.7745 1041.1724    P21
  4222607.5823  2702139.1251  3931777.7604 1090.6528    P22
  4212609.8430  2722135.0728  3928521.1589  962.3860    P23
  4205115.2997  2736237.8852  3926882.7401 1035.7802    P24
  4245341.4780  2646764.6832  3944824.4447 1072.1448    P25
  4234823.6820  2665126.3062  3943835.6654 1110.8420    P26
  4223581.1521  2679354.4087  3945880.3431  890.7910    P27
  4215900.6107  2699653.9063  3940625.8163 1098.6792    P28
  4205409.6279  2709139.0740  3944821.1108  805.9734    P29
  4194402.1394  2729945.9383  3942203.5817  800.5364    P30
  4236316.0782  2640703.4816  3958364.9419 1004.3885    P31
  4225703.2532  2656766.9180  3958851.8958  939.7435    P32
  4213521.1312  2672175.7821  3961799.1685 1159.6956    P33
  4203058.3675  2691387.1334  3959785.9283 1075.6469    P34
  4194470.4377  2706120.6604  3958836.5468 1063.2901    P35
  4183047.2572  2720238.1902  3961146.7045 1011.1374    P36
