#         X[m]          Y[m]          Z[m]      H[m]     PN
  4344219.0052  2413227.6795  3986251.9476  945.2169    P01
  4336153.0573  2434315.8078  3982157.5551  895.7044    P02
  4328668.6727  2447149.1299  3982490.7750  932.0546    P03
  4318876.8820  2463721.7179  3982946.6454  960.6021    P04
  4306527.8450  2478967.3427  3986343.9777  654.9742    P05
  4301457.6678  2502076.3518  3978014.9655 1021.8563    P06
  4336263.1478  2403216.5743  4000827.1097  938.6811    P07
  4325161.6687  2426870.3515  3998601.3893  952.0251    P08
  4317214.0170  2441494.7811  3998126.9750  849.6208    P09
  4306971.9667  2456921.9399  3999761.1602  880.5033    P10
  4297531.9029  2475145.0824  3999175.1175 1188.6151    P11
  4289410.9177  2491361.9643  3997349.6851  884.2762    P12
  4324813.9303  2401121.7243  4014536.2142 1047.9891    P13
  4313071.2761  2417774.1906  4017027.0893  966.2030    P14
  4304606.7883  2437551.9114  4014150.5131  952.3266    P15
  4295543.3504  2450752.7451  4015662.1379  858.6351    P16
  4286746.6083  2469238.8314  4013882.4840  942.5145    P17
  4278786.6912  2484272.6008  4013053.5359  910.4970    P18
  4313725.5725  2394999.5861  4029932.0558 1011.6138    P19
  4305134.5674  2413100.2683  4027966.0280  779.6007    P20
  4293752.2263  2426157.3293  4032423.8262  895.8062    P21
  4285496.5033  2448136.9192  4028198.7365 1053.9489    P22
  4277536.3934  2460227.9066  4029375.3165 1111.1229    P23
  4264992.0700  2475996.8773  4032674.9817  912.4866    P24
  4299407.5091  2391634.3762  4047058.2971  998.3097    P25
  4292489.6820  2407809.0468  4045108.0810 1178.6819    P26
  4281196.6824  2420571.5594  4049093.0990  965.1727    P27
  4273517.1682  2442517.4777  4043943.4165  892.3870    P28
  4264400.7495  2452983.9542  4047352.1825  984.0648    P29
  4254872.4854  2473003.5946  4045185.2559  967.8460    P30
  4290752.9364  2383276.6318  4060717.3651  781.9977    P31
  4279957.7031  2398785.5975  4063513.2774 1135.1510    P32
  4271218.9499  2418272.3050  4061072.3556 1070.6902    P33
  4261461.4582  2431449.6428  4063142.7198  881.2628    P34
  4256285.6735  2452569.0535  4056137.5940 1022.5477    P35
  4251819.9347  2463362.7781  4053904.8317  775.0138    P36
