#         X[m]          Y[m]          Z[m]      H[m]     PN
  4440407.6665  2320361.1674  3934056.7876  100.4824    P01
  4429104.6734  2337587.2340  3936565.4926   89.9158    P02
  4421682.2503  2358103.9596  3932723.1627  106.1847    P03
  4410704.3310  2369475.8943  3938004.3652    0.4609    P04
  4402226.5334  2392676.3933  3933489.3135    0.4604    P05
  4395797.8684  2405738.6352  3932716.1585    0.4609    P06
  4432505.1453  2316399.3837  3945050.9875    0.4326    P07
  4420555.2279  2327677.7517  3951915.7095   91.5769    P08
  4408092.8900  2350335.9480  3952344.0391   43.2605    P09
  4401161.6185  2368731.5693  3949037.7955    0.4433    P10
  4395278.3208  2383445.1833  3946933.2815  113.1591    P11
  4387255.1862  2398268.9907  3947008.7544  192.7048    P12
  4417087.1077  2306485.4901  3968097.2713  104.0706    P13
  4408964.2691  2329741.6130  3963596.3476  118.8878    P14
  4400501.3015  2341616.7317  3965843.2859   29.3510    P15
  4392715.5767  2361606.9344  3962607.6729    8.2845    P16
  4384029.5967  2374819.9036  3964431.7339   79.0940    P17
  4376208.0709  2394219.5445  3961316.3902   11.8496    P18
  4410432.7056  2301472.9994  3978253.1020   57.2734    P19
  4398813.8241  2318083.2104  3981628.5936  169.3516    P20
  4386381.3593  2336672.9059  3984345.5404   98.2679    P21
  4377766.4502  2356676.8191  3982178.1392  176.5744    P22
  4376393.5047  2374939.7283  3972996.9061  244.7156    P23
  4363489.7111  2378944.3326  3984673.0806  228.6099    P24
  4393949.0056  2301316.1215  3996330.4435    0.4117    P25
  4383100.2741  2312535.1442  4001795.7773   43.7681    P26
  4375524.3167  2336069.9069  3996480.4767   62.9637    P27
  4369368.2474  2348128.7551  3996231.0053  113.2876    P28
  4362672.3734  2365663.9134  3993154.1543   69.6593    P29
  4356148.0140  2380144.5450  3991802.4457  145.7710    P30
  4387373.7112  2288255.5868  4011024.2157   60.6311    P31
  4377050.5494  2308207.1494  4010933.7669   99.7758    P32
  4367038.7815  2324093.6305  4012670.9836  106.0267    P33
  4359129.2866  2343204.5223  4010040.4834   22.2612    P34
  4349771.3951  2356624.4611  4012469.2085  115.4355    P35
  4338168.5635  2374461.5090  4014319.3718    0.4518    P36
