#         X[m]          Y[m]          Z[m]      H[m]     PN
  4078642.9216  3012927.7294  3856807.9304  568.7316    P01
  4066701.5631  3025614.6642  3859550.4108  619.2660    P02
  4054265.9005  3043819.0446  3858330.0384  621.5552    P03
  4047921.7076  3061688.2493  3850658.8905  478.2340    P04
  4036413.4191  3067645.8600  3858090.5930  568.4919    P05
  4018697.1215  3087717.1700  3860415.3737  483.1929    P06
  4067660.7633  3006891.4773  3872754.1069  433.4732    P07
  4057789.8815  3019014.6546  3873769.5189  494.2206    P08
  4044689.9660  3034492.3634  3875406.8921  519.9081    P09
  4031190.4084  3050465.5279  3877200.2953  689.5925    P10
  4020173.9215  3068408.2015  3874356.1209  603.9403    P11
  4007420.4708  3079359.7951  3878923.8135  651.3456    P12
  4052131.2193  2998413.1347  3895807.8214  689.6031    P13
  4042675.4733  3016445.1872  3891147.5546  329.2432    P14
  4037535.4998  3031029.1856  3885616.6624  593.2454    P15
  4029083.0846  3041571.2682  3886385.9549  737.9778    P16
  4013021.4377  3054363.3827  3892690.4728  595.3699    P17
  3997523.0002  3074763.9389  3892437.9862  510.8716    P18
  4047644.2451  2992160.9855  3905099.3098  624.2890    P19
  4039427.7256  3005772.8524  3903287.4114  699.2684    P20
  4028400.1103  3019136.9245  3904214.6610  608.2092    P21
  4013706.2108  3033298.6135  3908200.0479  521.3733    P22
  4002350.0851  3053831.5136  3903833.8191  491.6606    P23
  3989914.4647  3062947.2853  3909403.6073  505.8530    P24
  4032889.4980  2982561.7034  3927343.6317  530.8765    P25
  4022312.3285  3001065.7558  3924196.3127  581.7429    P26
  4015849.7501  3016119.5208  3919316.3614  590.3811    P27
  4004932.1560  3025690.8976  3923024.3179  554.3427    P28
  3987734.4648  3041322.6667  3928328.5936  500.6758    P29
  3973147.1735  3060955.4401  3928170.4818  690.7957    P30
  4024967.1336  2980164.4920  3937028.9615  417.1604    P31
  4018374.9229  2990510.9137  3936297.4235  648.5970    P32
  4005103.2963  3003302.0757  3939858.4466  525.7983    P33
  3991280.9998  3021327.7820  3940064.6002  503.3144    P34
  3980401.8824  3037282.8979  3938979.5071  608.1535    P35
  3969315.9232  3051352.6353  3939368.8723  657.2453    P36
