#         X[m]          Y[m]          Z[m]      H[m]     PN
  3886602.9499  3310891.4238  3811442.7920  922.2395    P01
  3873999.3995  3323208.2797  3813476.7502  884.3977    P02
  3860643.5680  3340085.1333  3812333.9209  914.5715    P03
  3844035.0829  3349850.8158  3820944.4531 1191.6247    P04
  3828911.1367  3373698.5812  3814829.1383  980.0495    P05
  3818447.1484  3382353.4013  3817488.9155  893.0690    P06
  3873828.1513  3305519.7574  3828845.7378  857.3701    P07
  3862756.3756  3315320.3817  3831692.6767  950.3910    P08
  3848610.1441  3332419.1876  3830854.1189  802.9145    P09
  3839083.5674  3348835.4356  3825870.0724  648.8596    P10
  3828558.3486  3358872.3118  3828004.1021  888.9877    P11
  3816574.0557  3376832.1808  3824425.2347 1029.1527    P12
  3870047.9348  3290119.4276  3845944.3816  954.7813    P13
  3855052.9427  3309988.3773  3844122.0282 1048.6189    P14
  3839504.1218  3319628.0779  3851015.8523  866.0018    P15
  3826392.4693  3343173.7355  3843889.6263  958.0487    P16
  3818897.5841  3352739.0618  3842935.5992  908.6860    P17
  3806182.3329  3366088.8515  3844033.3500 1005.7718    P18
  3857772.4264  3284332.6806  3862867.9299  830.9885    P19
  3845140.3181  3302757.3749  3859957.0115  943.4013    P20
  3836694.6452  3317015.7611  3856129.7523  926.5494    P21
  3821387.6115  3324216.5679  3864934.3511  851.4537    P22
  3806154.1156  3348333.0827  3859362.5640  961.6761    P23
  3799514.7257  3360669.5491  3855303.2183 1020.1797    P24
  3851661.6137  3272852.0112  3878801.9903  971.6505    P25
  3836257.0363  3294938.6511  3875477.1618 1025.1963    P26
  3822608.0230  3304137.3727  3881042.2013  996.2411    P27
  3807763.5340  3324158.1969  3878656.9056 1059.4862    P28
  3795458.1719  3335727.6135  3880658.5899  991.5218    P29
  3784231.7243  3354230.8489  3875665.4800  968.6064    P30
  3841832.4391  3270262.3944  3890697.8858 1009.7077    P31
  3829761.0744  3283957.2831  3890803.7273  852.0953    P32
  3814343.0482  3296293.0346  3895460.3459  838.2268    P33
  3799872.9833  3315360.1145  3893679.7175  989.5038    P34
  3786063.6166  3326285.4476  3897843.9671 1026.4803    P35
  3774242.2884  3347009.3937  3891234.5068  799.4990    P36
