#         X[m]          Y[m]          Z[m]      H[m]     PN
  4518646.7371  2401731.2001  3795451.5763  629.1720    P01
  4511505.6603  2427742.0510  3787339.5625  570.9278    P02
  4509595.8850  2439663.9989  3782103.5768  643.2727    P03
  4498620.7467  2449880.6326  3788360.1522  546.0119    P04
  4488214.2913  2473655.0386  3785298.3955  560.7448    P05
  4480987.9859  2488435.9873  3784346.2256  659.8335    P06
  4510108.5936  2392269.3082  3811207.9726  487.0108    P07
  4502644.0411  2422620.0457  3801266.9816  699.4930    P08
  4494333.7129  2428759.9867  3806877.4524  541.5300    P09
  4481916.8057  2450669.2800  3807735.9980  700.8993    P10
  4473551.2472  2469145.4592  3805665.7306  709.5944    P11
  4469469.3024  2486755.1205  3798794.5386  565.9869    P12
  4503797.0221  2387025.4390  3822181.5826  671.4094    P13
  4490420.2279  2410053.5256  3823178.3010  501.8839    P14
  4480975.7157  2428264.0178  3822819.7905  551.0854    P15
  4471280.3466  2444638.6674  3824039.1918  737.4517    P16
  4467587.6967  2466035.3035  3814352.8619  549.0505    P17
  4455226.0710  2470400.6526  3825763.6213  469.7046    P18
  4487794.4965  2390880.8014  3838252.0327  549.4881    P19
  4480072.9188  2404563.7746  3838876.8689  643.9458    P20
  4472578.6453  2423173.3605  3836097.0151  743.9025    P21
  4462879.4782  2436697.0821  3838599.9888  618.2264    P22
  4452479.3934  2456030.7379  3838299.9064  583.2390    P23
  4446001.3676  2474264.9283  3834178.9543  616.6597    P24
  4485171.7740  2380675.1396  3847492.6985  491.4049    P25
  4473681.3746  2393416.0993  3853289.7733  713.0540    P26
  4460528.5663  2414729.5968  3855287.9935  750.0152    P27
  4449034.6570  2432719.2901  3857114.1279  670.4956    P28
  4438266.8902  2450981.3226  3858041.2815  724.1578    P29
  4433238.1487  2471309.9106  3850659.5931  580.7144    P30
  4469030.4595  2372609.7196  3871292.7114  653.0859    P31
  4458294.5553  2393921.2755  3870618.3016  690.4865    P32
  4449045.3015  2410029.7393  3871101.3959  594.1519    P33
  4446217.9699  2431064.3204  3861507.2512  751.0261    P34
  4437845.6366  2437372.1354  3867113.7684  746.6434    P35
  4422773.1094  2457494.6877  3871347.8318  584.2404    P36
