#         X[m]          Y[m]          Z[m]      H[m]     PN
  3885600.6577  2930397.8300  4108790.4080    0.4902    P01
  3874198.9316  2940691.7515  4112177.6098    0.4477    P02
  3861379.7147  2958485.6183  4111746.1143  175.3374    P03
  3846023.7451  2969341.1097  4117996.3847    1.4393    P04
  3836849.6402  2993748.9572  4109001.3404   45.1881    P05
  3828513.8495  2999243.5180  4112673.7661    0.4758    P06
  3869938.5019  2919160.2672  4131355.4102    0.4659    P07
  3859635.6529  2938716.1207  4127263.3184   70.3678    P08
  3850147.1115  2949483.0152  4128407.0333   50.8935    P09
  3840058.8031  2966494.5225  4125554.7292    0.4087    P10
  3826675.6248  2975908.1086  4131252.3040   55.2420    P11
  3816482.7679  2998600.6533  4124414.6666  120.4032    P12
  3861830.7699  2908421.6065  4146476.8938   59.5690    P13
  3847180.7296  2928956.1369  4145584.3835   19.3151    P14
  3840984.4289  2946313.1666  4139425.3369  251.6447    P15
  3832499.4446  2955043.9044  4140855.5925  121.6321    P16
  3817990.7260  2969032.8197  4144041.2442    0.4377    P17
  3805325.0835  2986670.2752  4143384.9680  236.4967    P18
  3856788.6193  2909108.8603  4150729.2504  106.9082    P19
  3844970.2617  2913350.2085  4158499.7829    4.4570    P20
  3826617.4399  2932335.7926  4162156.1732   69.7081    P21
  3814714.3488  2950923.4906  4159854.1748    0.4953    P22
  3807591.6455  2965782.9060  4155837.1969    0.4868    P23
  3799667.6059  2977798.1022  4154506.5316    0.4614    P24
  3844415.1442  2894768.1420  4171959.6783   59.5709    P25
  3829320.3725  2909055.4309  4175791.3885    4.8069    P26
  3817828.0859  2928211.5810  4172936.1956    0.4871    P27
  3805193.8811  2937986.5486  4177599.8635   20.3118    P28
  3792039.1573  2956861.5738  4176222.2618    0.4223    P29
  3781776.5801  2970343.2815  4175961.6906    0.4745    P30
  3826721.6977  2889231.6597  4191789.5451    0.4451    P31
  3817932.7729  2906303.1730  4188025.6566    0.4409    P32
  3811562.7726  2919679.2715  4184545.2188    0.4719    P33
  3800600.6757  2929901.7164  4187349.2794    0.4546    P34
  3786817.0269  2945897.3971  4188609.9924    4.2059    P35
  3775307.3947  2961694.7825  4187857.9129    0.4244    P36
