#         X[m]          Y[m]          Z[m]      H[m]     PN
  3699882.5820  3142905.8507  4123080.6660   25.8663    P01
  3689615.8977  3157813.8669  4121013.9983   97.4729    P02
  3676757.6722  3168345.1126  4124248.9623    0.4477    P03
  3665092.2656  3187080.2384  4120460.7987  156.3573    P04
  3654725.8079  3197396.4205  4121535.8199   70.4789    P05
  3642477.7138  3212763.2665  4120343.9893   11.3683    P06
  3692768.1959  3132647.5500  4137166.4224   40.0111    P07
  3675656.9382  3144220.1973  4143515.5294    0.4663    P08
  3665252.9353  3168027.9931  4134649.5658    0.4886    P09
  3654995.1652  3171757.8666  4141165.2087  223.4397    P10
  3643165.0416  3194394.3246  4133962.0778   49.1288    P11
  3633342.3417  3200840.6354  4137539.0462   13.3557    P12
  3679796.0284  3124086.2646  4154986.9657    8.8955    P13
  3666916.7194  3140119.8881  4154388.1689   71.2575    P14
  3656447.9739  3154519.0619  4152611.1004    0.4722    P15
  3643418.4608  3165256.5035  4155887.8450   12.6364    P16
  3631997.5852  3184047.8501  4151539.5919    0.4227    P17
  3620053.1859  3192225.7072  4155660.8014    0.4581    P18
  3666974.5995  3116935.0712  4171640.3918   72.3400    P19
  3657673.4804  3134023.2342  4167035.1798   73.3982    P20
  3646393.7905  3142408.5522  4170480.6096    7.9526    P21
  3632125.7420  3158931.7949  4170715.8044  182.6163    P22
  3617687.0611  3170811.0404  4173950.0350    0.4814    P23
  3604661.5921  3188238.5895  4172069.1332   73.4235    P24
  3655909.7273  3109006.7201  4187021.8966    0.4616    P25
  3646405.5002  3124682.5460  4183663.2103    0.4935    P26
  3631573.8473  3131585.0158  4191343.0123    0.4904    P27
  3616283.2633  3152700.8458  4188753.0994    0.4277    P28
  3605847.5697  3164387.8470  4189060.0491   81.6515    P29
  3599095.0338  3183142.9136  4180586.4251    0.4704    P30
  3652136.0467  3097090.8594  4199059.5593    9.6666    P31
  3636472.8438  3112049.9705  4201561.4446    0.3643    P32
  3625725.7428  3130175.8125  4197542.5575   86.7395    P33
  3610201.2639  3135429.8551  4206797.4260    0.4717    P34
  3593771.0821  3157664.4921  4204253.9680    0.4641    P35
  3587765.6166  3173262.2422  4197681.7597    0.4956    P36
